Year,Class,Affiliations,Abstract,Keywords,Title,Tropical_disease_type,Machine_learning_techniques,Model,funding_details,funding_text,Authors_Region,Data_Region,Individual_Disease,Tropical_disease_type_cleaned,Tropical_disease_type_remapped,ml_harmonized,ml_result,ml_category
2023,prognosis,Shoolini University; Imam Mohammad Ibn Saud Islamic University (IMSIU); Chandigarh University; Shoolini University; Princess Nourah bint Abdulrahman University; Aligarh Muslim University,"The aedes mosquito-borne dengue viruses cause dengue fever, an arboviral disease (DENVs). In 2019, the World Health Organization forecasts a yearly occurrence of infections from 100 million to 400 million, the maximum number of dengue cases ever testified worldwide, prompting WHO to label the virus one of the world's top ten public health risks. Dengue hemorrhagic fever can progress into dengue shock syndrome, which can be fatal. Dengue hemorrhagic fever can also advance into dengue shock syndrome. To provide accessible and timely supportive care and therapy, it is necessary to have indispensable practical instruments that accurately differentiate Dengue and its subcategories in the early stages of illness development. Dengue fever can be predicted in advance, saving one's life by warning them to seek proper diagnosis and treatment. Predicting infectious diseases such as dengue is difficult, and most forecast systems are still in their primary stages. In developing dengue predictive models, data from microarrays and RNA-Seq have been used significantly. Bayesian inferences and support vector machine algorithms are two examples of statistical methods that can mine opinions and analyze sentiment from text. In general, these methods are not very strong semantically, and they only work effectively when the text passage inputs are at the level of the page or the paragraph; they are poor miners of sentiment at the level of the sentence or the phrase. In this research, we propose to construct a machine learning method to forecast dengue fever.",HEMORRHAGIC-FEVER; EPIDEMIOLOGY,DDPM: A Dengue Disease Prediction and Diagnosis Model Using Sentiment Analysis and Machine Learning Algorithms,Dengue,Supervised learning,"- KNN
- Decision trees
- Random Forests
- Gaussian neighbor boundaries
- Support vector classifier","Deanship of Scientific Research at Imam Mohammad Ibn Saud Islamic University (IMSIU)(Imam Abdulrahman Bin Faisal University); Princess Nourah Bint Abdulrahman University Researchers Supporting Project(Princess Nourah bint Abdulrahman University); Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia(Princess Nourah bint Abdulrahman University)","The authors extend their appreciation to the Deanship of Scientific Research at Imam Mohammad Ibn Saud Islamic University (IMSIU) for funding and supporting this work through Research Partnership Program no. RP-21-07-06 and Princess Nourah Bint Abdulrahman University Researchers Supporting Project number (PNURSP2023R440), Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia.","India, Saudi Arabia","Puerto Rico, Peru",Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,prognosis,Queensland University of Technology (QUT); Lanzhou University; Independent University Bangladesh (IUB),"Establishing reliable early warning models for severe dengue cases is a high priority to facilitate triage in dengue-endemic areas and optimal use of limited resources. However, few studies have identified the complex interactive relationship between potential risk factors and severe dengue. This research aimed to assess the potential risk factors and detect their high-order combinative effects on severe dengue. A structured questionnaire was used to collect detailed dengue outbreak data from eight representative hospitals in Dhaka, Bangladesh, in 2019. Logistic regression and machine learning models were used to examine the complex effects of demographic characteristics, clinical symptoms, and biochemical markers on severe dengue. A total of 1,090 dengue cases (158 severe and 932 non-severe) were included in this study. Dyspnoea (Odds Ratio [OR] = 2.87, 95% Confidence Interval [CI]: 1.72 to 4.77), plasma leakage (OR = 3.61, 95% CI: 2.12 to 6.15), and hemorrhage (OR = 2.33, 95% CI: 1.46 to 3.73) were positively and significantly associated with the occurrence of severe dengue. Classification and regression tree models showed that the probability of occurrence of severe dengue cases ranged from 7% (age >12.5 years without plasma leakage) to 92.9% (age <= 12.5 years with dyspnoea and plasma leakage). The random forest model indicated that age was the most important factor in predicting severe dengue, followed by education, plasma leakage, platelet, and dyspnoea. The research provides new evidence to identify key risk factors contributing to severe dengue cases, which could be beneficial to clinical doctors to identify and predict the severity of dengue early. Author summaryDengue is a mosquito-borne viral infection mostly in warm and tropical regions, which has been listed as one of the top ten global health threats by the WHO. Among neglected tropical diseases, the mortality of dengue is on the rise. Severe dengue (typically manifested by bleeding, organ dysfunction, and plasma leakage) has become a leading cause of hospitalization for children and adults. There is a higher risk of death if severe dengue cases are not appropriately managed. Therefore, finding biomarkers that can reliably predict the development of severe dengue in symptomatic individuals is one of the main focuses of current research efforts. We found that dyspnoea, plasma leakage, and hemorrhage were the independent risk factors of severe dengue. The predictive probability of occurrence of severe dengue achieved 92.9% among people aged <= 12.5 years with dyspnoea and plasma leakage. Establishing an early warning system for severe dengue based on these factors is essential for triaging in endemic areas. The findings of this study identified possible combinations of severe dengue, which would provide enhanced insight into clinical management and inform prevention programming for severe dengue.",SHOCK SYNDROME; KNOWLEDGE; CHILDREN; ADULTS,"Demographic characteristics, clinical symptoms, biochemical markers and probability of occurrence of severe dengue: A multicenter hospital-based study in Bangladesh",Dengue,Supervised learning,"- Classification and regression tree (CART)
- Logistic regression
- Random foreset","Techno Drug Ltd, Bangladesh","Field-level data collection was partially funded by Techno Drug Ltd, Bangladesh to MSH, grant number Techno-2019-01. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","China, Bangladesh, Australia",Bangladesh,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,diagnosis,Chi Mei Hospital; Taipei Medical University; Chi Mei Hospital; Chi Mei Hospital; Chi Mei Hospital,"Background:Dengue fever (DF) is a significant public health concern in Asia. However, detecting the disease using traditional dichotomous criteria (i.e., absent vs present) can be extremely difficult. Convolutional neural networks (CNNs) and artificial neural networks (ANNs), due to their use of a large number of parameters for modeling, have shown the potential to improve prediction accuracy (ACC). To date, there has been no research conducted to understand item features and responses using online Rasch analysis. To verify the hypothesis that a combination of CNN, ANN, K-nearest-neighbor algorithm (KNN), and logistic regression (LR) can improve the ACC of DF prediction for children, further research is required. Methods:We extracted 19 feature variables related to DF symptoms from 177 pediatric patients, of whom 69 were diagnosed with DF. Using the RaschOnline technique for Rasch analysis, we examined 11 variables for their statistical significance in predicting the risk of DF. Based on 2 sets of data, 1 for training (80%) and the other for testing (20%), we calculated the prediction ACC by comparing the areas under the receiver operating characteristic curve (AUCs) between DF + and DF- in both sets. In the training set, we compared 2 scenarios: the combined scheme and individual algorithms. Results:Our findings indicate that visual displays of DF data are easily interpreted using Rasch analysis; the k-nearest neighbors algorithm has a lower AUC (<0.50); LR has a relatively higher AUC (0.70); all 3 algorithms have an almost equal AUC (=0.68), which is smaller than the individual algorithms of Naive Bayes, LR in raw data, and Naive Bayes in normalized data; and we developed an app to assist parents in detecting DF in children during the dengue season. Conclusion:The development of an LR-based APP for the detection of DF in children has been completed. To help patients, family members, and clinicians differentiate DF from other febrile illnesses at an early stage, an 11-item model is proposed for developing the APP.",RAPID IMMUNOCHROMATOGRAPHIC TEST; LOGISTIC-REGRESSION; VIRUS; DIAGNOSIS,Detecting dengue fever in children using online Rasch analysis to develop algorithms for parents: An APP development and usability study,Dengue,Supervised learning,"CNN, ANN, KNN, Naive Bayes and Logistic regression",,,Taiwan,Taiwan,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,diagnosis,Universite de Montreal; Universite de Montreal; Universite de Montreal,"PURPOSE: Automated machine learning (AutoML) allows clinicians without coding experience to build their own deep learning (DL) models. This study assesses the performance of AutoML in diagnosing trachoma from field-collected conjunctival images and compares it to expert-designed DL models. METHODS: Two ophthalmology trainees without coding experience carried out AutoML model design using a publicly available image data set of field-collected conjunctival images (1656 labeled images). We designed two binary models to differentiate trachomatous inflammation-follicular (TF) and trachomatous inflammation-intense (TI) from normal. We then integrated an Edge model into an Android application using Google Firebase to make offline diagnoses. RESULTS: The AutoML models showed high diagnostic properties in the classification tasks that were comparable or better than the bespoke DL models. The TF model had an area under the precision-recall curve (AuPRC) of 0.945, sensitivity of 87%, specificity of 88%, and accuracy of 88%. The TI model had an AuPRC of 0.975, sensitivity of 95%, specificity of 92%, and accuracy of 93%. Through the Android app and using an external dataset, the AutoML model had an AuPRC of 0.875, sensitivity of 83%, specificity of 81%, and accuracy of 83%. CONCLUSION: AutoML models created by ophthalmologists without coding experience were comparable or better than bespoke models trained on the same dataset. Using AutoML to create models and edge computing to deploy them into smartphone-based apps, our approach brings the whole spectrum of DL model design into the hands of clinicians. This approach has the potential to democratize access to artificial intelligence.",COST-EFFECTIVENESS; RANDOMIZED-TRIAL; AZITHROMYCIN; DESIGN; SYSTEM,Development and deployment of a smartphone application for diagnosing trachoma: Leveraging code-free deep learning and edge artificial intelligence,Trachoma,Supervised learning,"AutoML
-Trachomatous inflammation-follicular (TF)
-Trachomatous inflammation-intense (TI)",,,Canada,"Niger, Ethiopia",Trachoma,Trachoma,Trachoma,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,prognosis,,"Dengue fever needs to be managed, which is considered as an important issue in health, nowadays. An efficient allocation of resources is mostly challenging owing to the external and internal components that have imposed non-linear fluctuations in the occurrence of dengue fever. Various machine learning and deep learning algo-rithms are developed for supporting the healthcare sector analysis, which has assured the efficiency and sig-nificance of the exact prediction of diseases and also ensured the minimal mortality rate. The core concept of this work is to implement an early-warning system for forecasting dengue fever and providing the proper recom-mendation system through intelligent techniques. Here, the enhanced prediction of dengue fever and recom-mendation is the main objective of this paper. In the data pre-processing stage, outlier removal and missing data filling are the main techniques to enhance the quality of data. Further, the optimal feature selection is performed using Neighbour Count-based Dragonfly Electric Fish Optimization (NC-DEFO). These acquired features are subjected to the Optimized Ensemble Classifier (OEC), in which Convolutional Neural Network, Artificial Neural Network, and Support Vector Machine are used according to the high ranking. Once the dengue fever in a particular area is predicted, the proper medical recommendation is provided in that area in terms of precaution steps, immunity-boosting remedies, drug prescription, spreading avoidance, etc. The evaluated results of the developed model with different comparative algorithms have shown efficient and superior outcomes from the implemented model, which seems to be accurate for the earlier diagnosis of dengue fever.",HEMORRHAGIC-FEVER; AMERICA,Development of optimized ensemble classifier for dengue fever prediction and recommendation system,Dengue,Supervised learning,"CNN, ANN and Support Vector Machine",,,India,No data was used for the research described in the article.,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,prognosis,"Centurion University of Technology & Management; Aditya Engineering College, Surampalem; Centurion University of Technology & Management","Dengue fever is a mosquito-borne pathological infection that is the nation's most dangerous widespread human illness disorder, posing a critical threat to humankind. Moreover, accuracy is a major challenge during dengue epidemic prediction that must be addressed. A few research studies have looked into the factors influencing dengue outbreak prediction. Furthermore, only a tiny fraction of the infected population can be properly predicted using a forecasting approach for dengue infection disorders based solely on meteorological variables. This limitation is caused by a low mosquito population below infection transmission thresholds. Therefore, an Improved Deep Learning Model for Predicting Dengue Outbreaks is proposed, in which novel climatic parameters such as the TempWind factor are evaluated. Then to estimate the dengue risk incidence level, the Bayes network model combined with Particle Swarm Optimization (PSO) is introduced. As a result, the proposed model has proven that using the correct and relevant factor of putting aspects for epidemic forecasting yields improved and accurate findings.",,Discover the New Factor for Dengue Fever Outbreaks and Predicted using Bayes Network-PSO (BN-PSO),Dengue,Supervised learning,Bayes network model combined with Particle Swarm Optimization (PSO),Department of Science and Technology (DST)(Department of Science & Technology (India)),"We would like to express our sincere gratitude to the Department of Science and Technology (DST) for their generous support provided for this research project (Ref. No. DST/SEED/SCSP/STI/2019/140) . The valuable resources and infrastructure made availa-ble by Shri Vishnu Engineering College For women, Bhimavaram were instrumental in the successful completion of this study. We would also like to express our sincere grate-fulness to Primary Health Center, Palakoderu for providing the dataset used in this research project. Their valuable contribution has been instrumental in enabling us to conduct our study and draw meaningful conclusions. We are grateful for their willingness to share the dataset and for their efforts in collecting and organizing the data. This research would not have been possible without their generous support.",India,Not explicitly stated,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,diagnosis,"International Islamic University, Pakistan; National University of Sciences & Technology - Pakistan; Hankuk University Foreign Studies; King Saud University; Ton Duc Thang University; Ton Duc Thang University","Healthcare Informatics is a phenomenon being talked about from the early 21st century in the era in which we are living. With evolution of new computing technologies huge amount of data in healthcare is produced opening several research areas. Managing the massiveness of this data is required while extracting knowledge for decision making is the main concern of today. For this task researchers are doing explorations in big data analytics, deep learning (advanced form of machine learning known as deep neural nets), predictive analytics and various other algorithms to bring innovation in healthcare. Through all these innovations happening it is not wrong to establish that disease prediction with anticipation of its cure is no longer unrealistic. First, Dengue Fever (DF) and then Covid-19 likewise are new outbreak in infectious lethal diseases and diagnosing at all stages is crucial to decrease mortality rate. In case of Diabetes, clinicians and experts are finding challenging the timely diagnosis and analyzing the chances of developing underlying diseases. In this paper, Louvain Mani-Hierarchical Fold Learning healthcare analytics, a hybrid deep learning technique is proposed for medical diagnostics and is tested and validated using real-time dataset of 104 instances of patients with dengue fever made available by Holy Family Hospital, Pakistan and 810 instances found for infectious diseases including prognosis of; Covid-19, SARS, ARDS, Pneumocystis, Streptococcus, Chlamydophila, Klebsiella, Legionella, Lipoid, etc. on GitHub. Louvain Mani-Hierarchical Fold Learning healthcare analytics showed maximum 0.952 correlations between two clusters with Spearman when applied on 240 instances extracted from comorbidities diagnostic data model derived from 15696 endocrine records of multiple visits of 100 patients identified by a unique ID. Accuracy for induced rules is evaluated by Laplace (Fig. 8) as 0.727, 0.701 and 0.203 for 41, 18 and 24 rules, respectively. Endocrine diagnostic data is made available by Shifa International Hospital, Islamabad, Pakistan. Our results show that in future this algorithm may be tested for diagnostics on healthcare big data.",,Leveraging Deep Learning for Designing Healthcare Analytics Heuristic for Diagnostics,Dengue fever,"Supervised learning
Unsupervised learning","- Louvain Clustering
- Manifold Learning
- Hierarchical Clustering
- KNN","Holy Family Hospital; Shifa International Hospital, Pakistan; King Saud University, Riyadh, Saudi Arabia(King Saud University)","This research is supported by Holy Family Hospital and Shifa International Hospital, Pakistan. In this work Dr. Waleed S Alnumay is supported by Researchers Supporting Project number (RSP2020/250), King Saud University, Riyadh, Saudi Arabia. The data contributed for diagnosis of Dengue Fever (Fig. 5 and 6), infectious diseases having Covid-19 (Fig. 8) or Diabetes and its comorbidities (as in Fig. 11, 13 and 14) holds a lot of worth to come up with these observations mentioned in Section 5 from experimental study.","Pakistan, Korea, Saudi Arabia, Vietman",Pakistan,Dengue fever,Dengue fever,Dengue and chikungunya,Unsupervised Learning,"{'ml_category': 'Supervised,Unsupervised'}",Supervised
2023,diagnosis,"Manipal Academy of Higher Education (MAHE); Manipal Academy of Higher Education (MAHE); Kasturba Medical College, Manipal; Manipal Academy of Higher Education (MAHE); Kasturba Medical College, Manipal","Dengue fever, also known as break-bone fever, can be life-threatening. Caused by DENV, an RNA virus from the Flaviviridae family, dengue is currently a globally important public health problem. The clinical methods available for dengue diagnosis require skilled supervision. They are manual, time-consuming, labor-intensive, and not affordable to common people. This paper describes a method that can support clinicians during dengue diagnosis. It is proposed to automate the peripheral blood smear (PBS) examination using Artificial Intelligence (AI) to aid dengue diagnosis. Nowadays, AI, especially Machine Learning (ML), is increasingly being explored for successful analyses in the biomedical field. Digital pathology coupled with AI holds great potential in developing healthcare services. The automation system developed incorporates a blob detection method to detect platelets and thrombocytopenia from the PBS images. The results achieved are clinically acceptable. Moreover, an ML-based technique is proposed to detect dengue from the images of PBS based on the lymphocyte nucleus. Ten features are extracted, including six morphological and four Gray Level Spatial Dependance Matrix (GLSDM) features, out of the lymphocyte nucleus of normal and dengue cases. Features are then subjected to various popular supervised classifiers built using a ten-fold cross-validation policy for automated dengue detection. Among all the classifiers, the best performance was achieved by Support Vector Machine (SVM) and Decision Tree (DT), each with an accuracy of 93.62%. Furthermore, 1000 deep features extracted using pre-trained MobileNetV2 and 177 textural features extracted using Local binary pattern (LBP) from the lymphocyte nucleus are subjected to feature selection. The ReliefF selected 100 most significant features are then fed to the classifiers. The best performance was attained using an SVM classifier with 95.74% accuracy. With the obtained results, it is evident that this proposed approach can efficiently contribute as an adjuvant tool for diagnosing dengue from the digital microscopic images of PBS.",THYROID LESION CLASSIFICATION; ULTRASOUND; FEATURES; COMBINATION; DIAGNOSIS; TEXTURE; BENIGN,Machine Learning-Based Detection of Dengue from Blood Smear Images Utilizing Platelet and Lymphocyte Characteristics,Dengue,Supervised learning,"Support Vector Machines, Decision Tree",,,India,India,Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,diagnosis,Universitatsklinikum des Saarlandes; Dokkyo Medical University; Niigata University; University of Basel; Swiss Tropical & Public Health Institute; University of Basel,"Background Schistosomiasis is a major neglected tropical disease that affects up to 250 million individuals worldwide. The diagnosis of human schistosomiasis is mainly based on the microscopic detection of the parasite's eggs in the feces (i.e., for Schistosoma mansoni or Schistosoma japonicum) or urine (i.e., for Schistosoma haematobium) samples. However, these techniques have limited sensitivity, and microscopic expertise is waning outside endemic areas. Matrix-assisted laser desorption/ionization time-of-flight (MALDI-TOF) mass spectrometry (MS) has become the gold standard diagnostic method for the identification of bacteria and fungi in many microbiological laboratories. Preliminary studies have recently shown promising results for parasite identification using this method. The aims of this study were to develop and validate a species-specific database for adult Schistosoma identification, and to evaluate the effects of different storage solutions (ethanol and RNAlater) on spectra profiles. Methods Adult worms (males and females) of S. mansoni and S. japonicum were obtained from experimentally infected mice. Species identification was carried out morphologically and by cytochrome oxidase 1 gene sequencing. Reference protein spectra for the creation of an in-house MALDI-TOF MS database were generated, and the database evaluated using new samples. We employed unsupervised (principal component analysis) and supervised (support vector machine, k-nearest neighbor, Random Forest, and partial least squares discriminant analysis) machine learning algorithms for the identification and differentiation of the Schistosoma species. Results All the spectra were correctly identified by internal validation. For external validation, 58 new Schistosoma samples were analyzed, of which 100% (58/58) were correctly identified to genus level (log score values >= 1.7) and 81% (47/58) were reliably identified to species level (log score values >= 2). The spectra profiles showed some differences depending on the storage solution used. All the machine learning algorithms classified the samples correctly. Conclusions MALDI-TOF MS can reliably distinguish adult S. mansoni from S. japonicum.",TOOL,Matrix-assisted laser desorption/ionization time-of-flight mass spectrometry for differential identification of adult Schistosoma worms,Schistosomiasis,"- Supervised learning
- Unsupervised learning","- Principal component analysis
- Support vector machine
- k-nearest neighnor
- Random forest
- Partial least squares discriminant analysis",Projekt DEAL; Deutsche Forschungsgemeinschaft (German Research Foundation)(German Research Foundation (DFG)); Saarland University,Open Access funding enabled and organized by Projekt DEAL. We acknowledge support by the Deutsche Forschungsgemeinschaft (German Research Foundation) and Saarland University within the funding program Open Access Publishing.,"Germany, Japan, Switzerland",Japan,Schistosomiasis,Schistosomiasis,Schistosomiasis,Unsupervised Learning,"{'ml_category': 'Supervised,Unsupervised'}",Supervised
2023,diagnosis,Instituto Adolfo Lutz,"Background: The evaluation of household contacts of leprosy cases allows the early diagnosis of new cases. Objective: To associate the results of the ML Flow test with the clinical characteristics of leprosy cases and to verify their positivity in household contacts, in addition to describing the epidemiological profile of both. Methods: Prospective study with patients diagnosed over the course of one year (n = 26), without prior treatment, and their household contacts (n = 44) in six municipalities in northwestern Sao Paulo, Brazil. Results: There was a predominance of men among the leprosy cases, of 61.5% (16/26); 77% (20/26) were over 35 years old; 86.4% (22/26) were multibacillary; 61.5% (16/26) had a positive bacilloscopy; and 65.4% (17/26) had no physical disability. The ML Flow test was positive in 53.8% (14/26) of the leprosy cases and was associated with those who had a positive bacilloscopy and were diagnosed as multibacillary (p-value <0.05). Among the household contacts, 52.3% (23/44) were women and aged over 35 years; 81.8% (36/44) had been vaccinated with BCG - Bacillus Calmette-Guerin. The ML Flow test was positive in 27.3% (12/44) of household contacts, all of whom lived with multibacillary cases; seven lived with positive bacilloscopy cases and six with consanguineous cases. Study limitations: Difficulty in convincing the contacts to undergo the evaluation and collection of the clinical sample. Conclusion: The ML Flow test, when positive in household contacts, can help the identification of cases that require more attention by the health team, as it indicates a predisposition to disease development, especially when they are household contacts of multibacillary cases, with positive bacilloscopy and consanguineous. The ML Flow test also helps in the correct clinical classification of the leprosy cases. (c) 2023 Sociedade Brasileira de Dermatologia. Published by Elsevier Espana, S.L.U. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",CHALLENGES; CONTACTS,ML Flow serological test: complementary tool in leprosy,Leprosy,No machine learning models used,-,Fundacao Paulista Contra Hanseniase,Fundacao Paulista Contra Hanseniase - Project number 183.,Brazil,Brazil,Leprosy,Leprosy,Leprosy,,{'ml_category': 'None/Other'},None/Other
2023,diagnosis,Colorado School of Public Health; University of Colorado System; University of Colorado Anschutz Medical Campus; University of Colorado System; University of Colorado Anschutz Medical Campus; Colorado School of Public Health; National Jewish Health,"BackgroundAlthough the presence of intermediate snails is a necessary condition for local schistosomiasis transmission to occur, using them as surveillance targets in areas approaching elimination is challenging because the patchy and dynamic quality of snail host habitats makes collecting and testing snails labor-intensive. Meanwhile, geospatial analyses that rely on remotely sensed data are becoming popular tools for identifying environmental conditions that contribute to pathogen emergence and persistence.MethodsIn this study, we assessed whether open-source environmental data can be used to predict the presence of human Schistosoma japonicum infections among households with a similar or improved degree of accuracy compared to prediction models developed using data from comprehensive snail surveys. To do this, we used infection data collected from rural communities in Southwestern China in 2016 to develop and compare the predictive performance of two Random Forest machine learning models: one built using snail survey data, and one using open-source environmental data.ResultsThe environmental data models outperformed the snail data models in predicting household S. japonicum infection with an estimated accuracy and Cohen's kappa value of 0.89 and 0.49, respectively, in the environmental model, compared to an accuracy and kappa of 0.86 and 0.37 for the snail model. The Normalized Difference in Water Index (an indicator of surface water presence) within half to one kilometer of the home and the distance from the home to the nearest road were among the top performing predictors in our final model. Homes were more likely to have infected residents if they were further from roads, or nearer to waterways.ConclusionOur results suggest that in low-transmission environments, leveraging open-source environmental data can yield more accurate identification of pockets of human infection than using snail surveys. Furthermore, the variable importance measures from our models point to aspects of the local environment that may indicate increased risk of schistosomiasis. For example, households were more likely to have infected residents if they were further from roads or were surrounded by more surface water, highlighting areas to target in future surveillance and control efforts.",WATER INDEX NDWI; MANSONI; INFECTION; PREDICTION; HABITATS; SICHUAN; CHINA,Open-source environmental data as an alternative to snail surveys to assess schistosomiasis risk in areas approaching elimination,Schistosomiasis,Supervised learning,Random forest,,,"USA, China",China,Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,treatment monitoring,Kerman University of Medical Sciences; Kerman University of Medical Sciences; Kerman University of Medical Sciences; Kerman University of Medical Sciences; Shiraz University; Kerman University of Medical Sciences,"Leishmaniasis is an overlooked, poverty-stricken, and complex disease with growing social and public health problems. In general, leishmaniasis is a curable disease; however, there is an expansion of unresponsive cases to treatment in cutaneous leishmaniasis (CL). One of the effective and ignored determinants in the treatment outcome of CL is poor treatment adherence (PTA). PTA is an overlooked and widespread phenomenon to proper Leishmania treatment. This study aimed to explore the effect of poor adherence in unresponsiveness to treatment in patients with anthroponotic CL (ACL) by comparing conventional statistical modalities and machine learning analyses in Iran. Overall, 190 cases consisting of 50 unresponsive patients (case group), and 140 responsive patients (control group) with ACL were randomly selected. The data collecting form that included 25 queries (Q) was recorded for each case and analyzed by R software and genetic algorithm (GA) approaches. Complex treatment regimens (Q11), cultural and lay views about the disease and therapy (Q8), life stress, hopelessness and negative feelings (Q22), adverse effects of treatment (Q13), and long duration of the lesion (Q12) were the most prevalent significant variables that inhibited effective treatment adherence by the two methods, in decreasing order of significance. In the inherent algorithm approach, similar to the statistical approach, the most significant feature was complex treatment regimens (Q11). Providing essential knowledge about ACL and treatment of patients with chronic diseases and patients with misconceptions about chemical drugs are important issues directly related to the disease's unresponsiveness. Furthermore, early detection of patients to prevent the long duration of the disease and the process of treatment, efforts to minimize side effects of treatment, induction of positive thinking, and giving hope to patients with stress and anxiety by medical staff, and family can help patients adhere to the treatment.",MALARIA TREATMENT; PATIENTS BELIEFS; CLINICAL-TRIALS; RESISTANCE,Poor adherence is a major barrier to the proper treatment of cutaneous leishmaniasis: A case-control field assessment in Iran,Leishmaniasis,Supervised learning,Support Vector Machines,,,Iran,Iran,Leishmaniasis,Leishmaniasis,Leishmaniasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,diagnosis,Monash University; Monash University; Australian Synchrotron,"The prevalence of neglected tropical diseases (NTDs) is advancing at an alarming rate. The NTD leishmaniasis is now endemic in over 90 tropical and sub-tropical low socioeconomic countries. Current diagnosis for this disease involves serological assessment of infected tissue by either light microscopy, antibody tests, or culturing with in vitro or in vivo animal inoculation. Furthermore, co-infection by other pathogens can make it difficult to accurately determine Leishmania infection with light microscopy. Herein, for the first time, we demonstrate the potential of combining synchrotron Fourier transform infrared (FTIR) microspectroscopy with powerful discrimination tools, such as partial least squares-discriminant analysis (PLS-DA), support vector machine-discriminant analysis (SVM-DA), and k-nearest neighbors (KNN), to characterize the parasitic forms of Leishmania major both isolated and within infected macrophages. For measurements performed on functional infected and uninfected macrophages in physiological solutions, the sensitivities from PLS-DA, SVM-DA, and KNN classification methods were found to be 0.923, 0.981, and 0.989, while the specificities were 0.897, 1.00, and 0.975, respectively. Cross-validated PLS-DA models on live amastigotes and promastigotes showed a sensitivity and specificity of 0.98 in the lipid region, while a specificity and sensitivity of 1.00 was achieved in the fingerprint region. The study demonstrates the potential of the FTIR technique to identify unique diagnostic bands and utilize them to generate machine learning models to predict Leishmania infection. For the first time, we examine the potential of infrared spectroscopy to study the molecular structure of parasitic forms in their native aqueous functional state, laying the groundwork for future clinical studies using more portable devices.",MALARIA PARASITEMIA; SPECTROSCOPY; DIAGNOSIS; QUANTIFICATION; IDENTIFICATION; ERYTHROCYTES,Synchrotron-Infrared Microspectroscopy of Live Leishmania major Infected Macrophages and Isolated Promastigotes and Amastigotes,Leishmaniasis,Supervised learning,"Partial least squares-discriminant analysis (PLS-DA), support
vector machine-discriminant analysis (SVM-DA), k-nearest neighbors
(KNN)",Australian Research Council (ARC)(Australian Research Council); Monash University-University of Bat h global PhD programme; Australian Institute of Nuclear Science and Engineering (AINSE); ANSTO-Australian Government,"We acknowledge the support of the beamtime provided by ANSTO, funded by the Australian Government. This work was funded by an Australian Research Council (ARC) Discovery Project Grant DP180103484. Thulya's research was supported by the Monash University-University of Bat h global PhD programme. Furthermore, Thulya would like to acknowledge the Australian Institute of Nuclear Science and Engineering (AINSE)'s postgraduate research award (PGRA) 2021.",Australia,Australia,Leishmaniasis,Leishmaniasis,Leishmaniasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2023,diagnosis,Addis Ababa University,"Trachoma is the leading bacterial infectious cause of blindness worldwide. Examination for clinical signs of trachoma involves careful inspection of the lashes, cornea, eversion of the upper lid, and the tarsal conjunctiva. In this paper, we present a system for automatic detection and grading of trachoma using deep convolutional network. Salient texture features that account for the symptom of the disease are extracted from the eye image using Gabor filters. Then, a texture feature based deep convolutional neural network is used for classification. A 4-way Softmax is used for grading into a specific class (normal, trachomatous scarring, trachomatous trichiasis, and corneal opacity). Although deep learning systems are known to extract and learn features from raw image, we also show that extracting characteristic features still improves the learning capability of deep learning systems. Our model is found to be faster to train and has smaller model size as compared to state-of-the-art models such as AlexNet and GoogLeNet. Furthermore, the model achieved a diagnosis accuracy of 97.9% for detecting and grading trachoma, which improves the accuracies obtained by AlexNet and GoogLeNet by 10% and 3%, respectively.",,TrachomaNet: Detection and grading of trachoma using texture feature based deep convolutional neural network,Trachoma,Supervised learning,Convolutional neural network,,,Ethiopia,Ethiopia,Trachoma,Trachoma,Trachoma,Supervised Learning,{'ml_category': 'Supervised'},Supervised
