Year,Class,Affiliations,Abstract,Keywords,Funding,Title,llm_ml_classify
2023.0,prognosis,Shoolini University; Imam Mohammad Ibn Saud Islamic University (IMSIU); Chandigarh University; Shoolini University; Princess Nourah bint Abdulrahman University; Aligarh Muslim University,"The aedes mosquito-borne dengue viruses cause dengue fever, an arboviral disease (DENVs). In 2019, the World Health Organization forecasts a yearly occurrence of infections from 100 million to 400 million, the maximum number of dengue cases ever testified worldwide, prompting WHO to label the virus one of the world's top ten public health risks. Dengue hemorrhagic fever can progress into dengue shock syndrome, which can be fatal. Dengue hemorrhagic fever can also advance into dengue shock syndrome. To provide accessible and timely supportive care and therapy, it is necessary to have indispensable practical instruments that accurately differentiate Dengue and its subcategories in the early stages of illness development. Dengue fever can be predicted in advance, saving one's life by warning them to seek proper diagnosis and treatment. Predicting infectious diseases such as dengue is difficult, and most forecast systems are still in their primary stages. In developing dengue predictive models, data from microarrays and RNA-Seq have been used significantly. Bayesian inferences and support vector machine algorithms are two examples of statistical methods that can mine opinions and analyze sentiment from text. In general, these methods are not very strong semantically, and they only work effectively when the text passage inputs are at the level of the page or the paragraph; they are poor miners of sentiment at the level of the sentence or the phrase. In this research, we propose to construct a machine learning method to forecast dengue fever.",HEMORRHAGIC-FEVER; EPIDEMIOLOGY,"Deanship of Scientific Research at Imam Mohammad Ibn Saud Islamic University (IMSIU) [RP-21-07-06]; Princess Nourah Bint Abdulrahman University Researchers Supporting Project [PNURSP2023R440]; Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia",DDPM: A Dengue Disease Prediction and Diagnosis Model Using Sentiment Analysis and Machine Learning Algorithms,NO
2023.0,diagnosis,Tulane University; Tulane University,"Author summaryThe diagnosis of skin diseases depends in large part, though not exclusively on visual inspection. The diagnosis and management of these diseases is thus particularly amenable to teledermatology approaches. The widespread availability of cell phone technology and electronic information transfer provides new potential for access to health care in low-income countries, yet there are limited efforts targeting these neglected populations with dark skin and consequently limited availability of tools. In this study, we leveraged a collection of skin images gathered through a system of teledermatology in the West African countries of Cote d'Ivoire and Ghana, and applied deep learning, a form of artificial intelligence (AI)-to see if deep learning models can distinguish between different diseases and support their diagnosis. Skin-related neglected tropical diseases, or skin NTDs, prevail in these regions and were our target conditions: Buruli ulcer, leprosy, mycetoma, scabies, and yaws. The accuracy of prediction depended on the number of images that were fed into the model for training with marginal improvement using laboratory confirmed cases in training. Using more images and greater efforts in this area, it is possible that AI can help address the unmet needs where access to medical care is limited. BackgroundDeep learning, which is a part of a broader concept of artificial intelligence (AI) and/or machine learning has achieved remarkable success in vision tasks. While there is growing interest in the use of this technology in diagnostic support for skin-related neglected tropical diseases (skin NTDs), there have been limited studies in this area and fewer focused on dark skin. In this study, we aimed to develop deep learning based AI models with clinical images we collected for five skin NTDs, namely, Buruli ulcer, leprosy, mycetoma, scabies, and yaws, to understand how diagnostic accuracy can or cannot be improved using different models and training patterns. MethodologyThis study used photographs collected prospectively in Cote d'Ivoire and Ghana through our ongoing studies with use of digital health tools for clinical data documentation and for teledermatology. Our dataset included a total of 1,709 images from 506 patients. Two convolutional neural networks, ResNet-50 and VGG-16 models were adopted to examine the performance of different deep learning architectures and validate their feasibility in diagnosis of the targeted skin NTDs. Principal findingsThe two models were able to correctly predict over 70% of the diagnoses, and there was a consistent performance improvement with more training samples. The ResNet-50 model performed better than the VGG-16 model. Model trained with PCR confirmed cases of Buruli ulcer yielded 1-3% increase in prediction accuracy across all diseases besides for mycetoma, over a model which training sets included unconfirmed cases. ConclusionsOur approach was to have the deep learning model distinguish between multiple pathologies simultaneously-which is close to real-world practice. The more images used for training, the more accurate the diagnosis became. The percentages of correct diagnosis increased with PCR-positive cases of Buruli ulcer. This demonstrated that it may be better to input images from the more accurately diagnosed cases in the training models also for achieving better accuracy in the generated AI models. However, the increase was marginal which may be an indication that the accuracy of clinical diagnosis alone is reliable to an extent for Buruli ulcer. Diagnostic tests also have their flaws, and they are not always reliable. One hope for AI is that it will objectively resolve this gap between diagnostic tests and clinical diagnoses with the addition of another tool. While there are still challenges to be overcome, there is a potential for AI to address the unmet needs where access to medical care is limited, like for those affected by skin NTDs.",ARTIFICIAL-INTELLIGENCE; DERMATOLOGY; CANCER; COLOR,Fogarty International Center of the National Institutes of Health [R21TW011860]; International Collaborative Research Program for Tackling the NTDs (Neglected Tropical Diseases) Challenges in African countries by the Japan Agency for Medical Research and Development (AMED) [21jm0510004h0204]; Leprosy Research Initiative (LRI) [707.19.62]; Global Health Innovative Technology (GHIT) [G2020-202],Deep learning for AI-based diagnosis of skin-related neglected tropical diseases: A pilot study,YES
2023.0,prognosis,Queensland University of Technology (QUT); Lanzhou University; Independent University Bangladesh (IUB),"Establishing reliable early warning models for severe dengue cases is a high priority to facilitate triage in dengue-endemic areas and optimal use of limited resources. However, few studies have identified the complex interactive relationship between potential risk factors and severe dengue. This research aimed to assess the potential risk factors and detect their high-order combinative effects on severe dengue. A structured questionnaire was used to collect detailed dengue outbreak data from eight representative hospitals in Dhaka, Bangladesh, in 2019. Logistic regression and machine learning models were used to examine the complex effects of demographic characteristics, clinical symptoms, and biochemical markers on severe dengue. A total of 1,090 dengue cases (158 severe and 932 non-severe) were included in this study. Dyspnoea (Odds Ratio [OR] = 2.87, 95% Confidence Interval [CI]: 1.72 to 4.77), plasma leakage (OR = 3.61, 95% CI: 2.12 to 6.15), and hemorrhage (OR = 2.33, 95% CI: 1.46 to 3.73) were positively and significantly associated with the occurrence of severe dengue. Classification and regression tree models showed that the probability of occurrence of severe dengue cases ranged from 7% (age >12.5 years without plasma leakage) to 92.9% (age <= 12.5 years with dyspnoea and plasma leakage). The random forest model indicated that age was the most important factor in predicting severe dengue, followed by education, plasma leakage, platelet, and dyspnoea. The research provides new evidence to identify key risk factors contributing to severe dengue cases, which could be beneficial to clinical doctors to identify and predict the severity of dengue early. Author summaryDengue is a mosquito-borne viral infection mostly in warm and tropical regions, which has been listed as one of the top ten global health threats by the WHO. Among neglected tropical diseases, the mortality of dengue is on the rise. Severe dengue (typically manifested by bleeding, organ dysfunction, and plasma leakage) has become a leading cause of hospitalization for children and adults. There is a higher risk of death if severe dengue cases are not appropriately managed. Therefore, finding biomarkers that can reliably predict the development of severe dengue in symptomatic individuals is one of the main focuses of current research efforts. We found that dyspnoea, plasma leakage, and hemorrhage were the independent risk factors of severe dengue. The predictive probability of occurrence of severe dengue achieved 92.9% among people aged <= 12.5 years with dyspnoea and plasma leakage. Establishing an early warning system for severe dengue based on these factors is essential for triaging in endemic areas. The findings of this study identified possible combinations of severe dengue, which would provide enhanced insight into clinical management and inform prevention programming for severe dengue.",SHOCK SYNDROME; KNOWLEDGE; CHILDREN; ADULTS,"Techno Drug Ltd, Bangladesh [Techno-2019-01]","Demographic characteristics, clinical symptoms, biochemical markers and probability of occurrence of severe dengue: A multicenter hospital-based study in Bangladesh",YES
2023.0,diagnosis,Chi Mei Hospital; Taipei Medical University; Chi Mei Hospital; Chi Mei Hospital; Chi Mei Hospital,"Background:Dengue fever (DF) is a significant public health concern in Asia. However, detecting the disease using traditional dichotomous criteria (i.e., absent vs present) can be extremely difficult. Convolutional neural networks (CNNs) and artificial neural networks (ANNs), due to their use of a large number of parameters for modeling, have shown the potential to improve prediction accuracy (ACC). To date, there has been no research conducted to understand item features and responses using online Rasch analysis. To verify the hypothesis that a combination of CNN, ANN, K-nearest-neighbor algorithm (KNN), and logistic regression (LR) can improve the ACC of DF prediction for children, further research is required. Methods:We extracted 19 feature variables related to DF symptoms from 177 pediatric patients, of whom 69 were diagnosed with DF. Using the RaschOnline technique for Rasch analysis, we examined 11 variables for their statistical significance in predicting the risk of DF. Based on 2 sets of data, 1 for training (80%) and the other for testing (20%), we calculated the prediction ACC by comparing the areas under the receiver operating characteristic curve (AUCs) between DF + and DF- in both sets. In the training set, we compared 2 scenarios: the combined scheme and individual algorithms. Results:Our findings indicate that visual displays of DF data are easily interpreted using Rasch analysis; the k-nearest neighbors algorithm has a lower AUC (<0.50); LR has a relatively higher AUC (0.70); all 3 algorithms have an almost equal AUC (=0.68), which is smaller than the individual algorithms of Naive Bayes, LR in raw data, and Naive Bayes in normalized data; and we developed an app to assist parents in detecting DF in children during the dengue season. Conclusion:The development of an LR-based APP for the detection of DF in children has been completed. To help patients, family members, and clinicians differentiate DF from other febrile illnesses at an early stage, an 11-item model is proposed for developing the APP.",RAPID IMMUNOCHROMATOGRAPHIC TEST; LOGISTIC-REGRESSION; VIRUS; DIAGNOSIS,,Detecting dengue fever in children using online Rasch analysis to develop algorithms for parents: An APP development and usability study,YES
2023.0,diagnosis,Universite de Montreal; Universite de Montreal; Universite de Montreal,"PURPOSE: Automated machine learning (AutoML) allows clinicians without coding experience to build their own deep learning (DL) models. This study assesses the performance of AutoML in diagnosing trachoma from field-collected conjunctival images and compares it to expert-designed DL models. METHODS: Two ophthalmology trainees without coding experience carried out AutoML model design using a publicly available image data set of field-collected conjunctival images (1656 labeled images). We designed two binary models to differentiate trachomatous inflammation-follicular (TF) and trachomatous inflammation-intense (TI) from normal. We then integrated an Edge model into an Android application using Google Firebase to make offline diagnoses. RESULTS: The AutoML models showed high diagnostic properties in the classification tasks that were comparable or better than the bespoke DL models. The TF model had an area under the precision-recall curve (AuPRC) of 0.945, sensitivity of 87%, specificity of 88%, and accuracy of 88%. The TI model had an AuPRC of 0.975, sensitivity of 95%, specificity of 92%, and accuracy of 93%. Through the Android app and using an external dataset, the AutoML model had an AuPRC of 0.875, sensitivity of 83%, specificity of 81%, and accuracy of 83%. CONCLUSION: AutoML models created by ophthalmologists without coding experience were comparable or better than bespoke models trained on the same dataset. Using AutoML to create models and edge computing to deploy them into smartphone-based apps, our approach brings the whole spectrum of DL model design into the hands of clinicians. This approach has the potential to democratize access to artificial intelligence.",COST-EFFECTIVENESS; RANDOMIZED-TRIAL; AZITHROMYCIN; DESIGN; SYSTEM,,Development and deployment of a smartphone application for diagnosing trachoma: Leveraging code-free deep learning and edge artificial intelligence,YES
2023.0,prognosis,,"Dengue fever needs to be managed, which is considered as an important issue in health, nowadays. An efficient allocation of resources is mostly challenging owing to the external and internal components that have imposed non-linear fluctuations in the occurrence of dengue fever. Various machine learning and deep learning algo-rithms are developed for supporting the healthcare sector analysis, which has assured the efficiency and sig-nificance of the exact prediction of diseases and also ensured the minimal mortality rate. The core concept of this work is to implement an early-warning system for forecasting dengue fever and providing the proper recom-mendation system through intelligent techniques. Here, the enhanced prediction of dengue fever and recom-mendation is the main objective of this paper. In the data pre-processing stage, outlier removal and missing data filling are the main techniques to enhance the quality of data. Further, the optimal feature selection is performed using Neighbour Count-based Dragonfly Electric Fish Optimization (NC-DEFO). These acquired features are subjected to the Optimized Ensemble Classifier (OEC), in which Convolutional Neural Network, Artificial Neural Network, and Support Vector Machine are used according to the high ranking. Once the dengue fever in a particular area is predicted, the proper medical recommendation is provided in that area in terms of precaution steps, immunity-boosting remedies, drug prescription, spreading avoidance, etc. The evaluated results of the developed model with different comparative algorithms have shown efficient and superior outcomes from the implemented model, which seems to be accurate for the earlier diagnosis of dengue fever.",HEMORRHAGIC-FEVER; AMERICA,,Development of optimized ensemble classifier for dengue fever prediction and recommendation system,YES
2023.0,diagnosis,Imperial College London; Imperial College London; Rady Childrens Hospital San Diego; University of California System; University of California San Diego; Emma Children's Hospital; University of Amsterdam; Radboud University Nijmegen; Complexo Hospitalario Universitario de Santiago de Compostela; University of Cape Town; University of Cape Town; University of Bern; University Hospital of Bern; University of London; London School of Hygiene & Tropical Medicine; Newcastle Upon Tyne Hospitals NHS Foundation Trust; Newcastle Upon Tyne Hospitals NHS Foundation Trust; Newcastle University - UK; University of Liverpool; University of Warwick; University of London; London School of Hygiene & Tropical Medicine; University of Oxford; University of Oxford; Universidade de Santiago de Compostela; University Children's Hospital Zurich; University Children's Hospital Zurich; University of Queensland; Childrens Health Queensland Hospital & Health Service; Queensland Childrens Hospital; Medical University of Graz; Wilhelmina Kinderziekenhuis; Utrecht University; Utrecht University Medical Center; Radboud University Nijmegen; University of Amsterdam; University of Amsterdam; University of Melbourne; Peter Doherty Institute; University of Western Australia,"Background: Appropriate treatment and management of children presenting with fever depend on accurate and timely diagnosis, but current diagnostic tests lack sensitivity and specificity and are frequently too slow to inform initial treatment. As an alternative to pathogen detection, host gene expression signatures in blood have shown promise in discriminating several infectious and inflammatory diseases in a dichotomous manner. However, differential diagnosis requires simultaneous consideration of multiple diseases. Here, we show that diverse infectious and inflammatory diseases can be discriminated by the expression levels of a single panel of genes in blood.Methods: A multi-class supervised machine-learning approach, incorporating clinical consequence of misdiagnosis as a costweighting, was applied to a whole-blood transcriptomic microarray dataset, incorporating 12 publicly available datasets, including 1,212 children with 18 infectious or inflammatory diseases. The transcriptional panel identified was further validated in a new RNA sequencing dataset comprising 411 febrile children.Findings: We identified 161 transcripts that classified patients into 18 disease categories, reflecting individual causative pathogen and specific disease, as well as reliable prediction of broad classes comprising bacterial infection, viral infection, malaria, tuberculosis, or inflammatory disease. The transcriptional panel was validated in an independent cohort and benchmarked against existing dichotomous RNA signatures.Conclusions: Our data suggest that classification of febrile illness can be achieved with a single blood sample and opens the way for a new approach for clinical diagnosis.Funding: European Union's Seventh Framework no. 279185; Horizon202 0 no. 668303 PERFORM; Wellcome Trust (206508/Z/17/Z); Medical Research Foundation (MRF-160-0008-ELP-KAFO-C08 01); NIHR Imperial BRC.",KAWASAKI-DISEASE; BACTERIAL-INFECTIONS; EXPRESSION; CHILDREN; INFANTS; CLASSIFICATION; TUBERCULOSIS; MICROARRAY; GEO,European Union [206508/Z/17/Z]; Wellcome Trust [MRF-160-0008-ELP-KAFO-C0801]; Medical Research Foundation [279185 EUCLIDS]; NIHR Imperial BRC; [668303 PERFORM],Diagnosis of childhood febrile illness using a multi-class blood RNA molecular signature,YES
2023.0,diagnosis,Batman University; Batman University,"Malaria is a febrile illness caused by a parasite called plasmodium. This life-threatening disease is preventable and treatable if diagnosed early. The World Health Organization aims to reduce the global malaria incidence and death rates by at least 90% until 2030. This disease is diagnosed by visually analyzing red blood cells with a microscope by experienced radiologists. Therefore, this situation may be erroneous due to subjective interpretations. In this study, red blood cells were trained with deep learning-based convolutional neural networks to diagnose malaria, and thus, their deep features were obtained. These obtained features are also trained with autoencoder networks. Thus, the chi-square feature selection algorithm was used to obtain distinctive features. Finally, the unique feature set obtained is given as an introduction to machine learning algorithms, and then a unique diagnostic model is proposed. As a result, 100% accuracy rate was obtained. The results are promising for the diagnosis of malaria disease.",DIMENSIONALITY,,Diagnosis of malaria disease by integrating chi-square feature selection algorithm with convolutional neural networks and autoencoder network,YES
2023.0,prognosis,Rajshahi University of Engineering & Technology (RUET); Rajshahi University of Engineering & Technology (RUET); University of Huddersfield; Rajshahi University of Engineering & Technology (RUET); Qatar University; Inha University,"Malaria, a life-threatening disease worldwide, can be diagnosed using antigen tests and microscopy tests. However, both of them are erroneous and time-consuming. Therefore, a trustworthy and fast early malaria prognosis infrastructure is required. In this age of machine learning (ML), there are several ML-based methods to do the task. This paper proposes an unorthodox method for malaria prognosis based on an extreme learning machine (ELM) algorithm. In this regard, Convolutional Neural Networks (CNN), ELM, and double hidden layer (DELM) have been used as classifiers. A CNN model has been used as a feature extractor and also as a classifier to perform a comparative study. The derived features have been used to train ELM and DELM. Two versions of the malaria image dataset have been used: one is the original dataset, and the other is a modified dataset where ambiguous samples have been removed. The parasite inflator acts as the shape increaser of the small, darker malaria parasites in the RBC images in order to detect malaria easily. CNN-DELM has achieved a sanguine result on every performance standard compared to CNN and CNN-ELM. The proposed CNN-DELM method has achieved 97.79% and 99.66% accuracy for the original version and the modified version, respectively. Hence, the proposed CNN-DELM model has also produced either comparable or better results when compared to other methods proposed in the literature, showing its robustness in detecting malaria.",BLOOD; CLASSIFICATION,National Research Foundation of Korea-Grant - Korean Government (Ministry of Science and ICT) [NRF-2020R1A2B5B02002478],Diagnosis of Malaria Using Double Hidden Layer Extreme Learning Machine Algorithm With CNN Feature Extraction and Parasite Inflator,YES
2023.0,prognosis,"Centurion University of Technology & Management; Aditya Engineering College, Surampalem; Centurion University of Technology & Management","Dengue fever is a mosquito-borne pathological infection that is the nation's most dangerous widespread human illness disorder, posing a critical threat to humankind. Moreover, accuracy is a major challenge during dengue epidemic prediction that must be addressed. A few research studies have looked into the factors influencing dengue outbreak prediction. Furthermore, only a tiny fraction of the infected population can be properly predicted using a forecasting approach for dengue infection disorders based solely on meteorological variables. This limitation is caused by a low mosquito population below infection transmission thresholds. Therefore, an Improved Deep Learning Model for Predicting Dengue Outbreaks is proposed, in which novel climatic parameters such as the TempWind factor are evaluated. Then to estimate the dengue risk incidence level, the Bayes network model combined with Particle Swarm Optimization (PSO) is introduced. As a result, the proposed model has proven that using the correct and relevant factor of putting aspects for epidemic forecasting yields improved and accurate findings.",,Department of Science and Technology (DST) [DST/SEED/SCSP/STI/2019/140],Discover the New Factor for Dengue Fever Outbreaks and Predicted using Bayes Network-PSO (BN-PSO),YES
2023.0,diagnosis,Shantou University; Shantou University; Shantou University,"Goal: The purpose of this work is to improve malaria diagnosis efficiency by integrating smartphones with microscopes. This integration involves image acquisition and algorithmic detection of malaria parasites in various thick blood smear (TBS) datasets sourced from different global regions, including low-quality images from Sub-Saharan Africa. Methods: This approach combines image segmentation and a convolutional neural network (CNN) to distinguish between white blood cells, artifacts, and malaria parasites. A portable system integrates a microscope with a graphical user interface to facilitate rapid malaria detection from smartphone images. We trained the CNN model using open-source data from the Chittagong Medical College Hospital, Bangladesh. Results: The validation process, using microscopic TBS from both the training dataset and an additional dataset from Sub-Saharan Africa, demonstrated that the proposed model achieved an accuracy of 97.74% +/- 0.05% and an F1-score of 97.75% +/- 0.04%. Remarkably, our proposed model with AlexNet surpasses the reported literature performance of 96.32%. Conclusions: This algorithm shows promise in aiding malaria-stricken regions, especially those with limited resources.",SEGMENTATION; CELL,Li Ka Shing Foundation Cross-Disciplinary Research,Efficient Malaria Parasite Detection From Diverse Images of Thick Blood Smears for Cross-Regional Model Accuracy,YES
2023.0,drug discovery,University of Cape Town; University of Cape Town; University of Cape Town,"Streamlined data-driven drug discovery remains challenging, especially in resource-limited settings. We present ZairaChem, an artificial intelligence (AI)- and machine learning (ML)-based tool for quantitative structure-activity/property relationship (QSAR/QSPR) modelling. ZairaChem is fully automated, requires low computational resources and works across a broad spectrum of datasets. We describe an end-to-end implementation at the H3D Centre, the leading integrated drug discovery unit in Africa, at which no prior AI/ML capabilities were available. By leveraging in-house data collected over a decade, we have developed a virtual screening cascade for malaria and tuberculosis drug discovery comprising 15 models for key decision-making assays ranging from whole-cell phenotypic screening and cytotoxicity to aqueous solubility, permeability, microsomal metabolic stability, cytochrome inhibition, and cardiotoxicity. We show how computational profiling of compounds, prior to synthesis and testing, can inform progression of frontrunner compounds at H3D. This project is a first-of-its-kind deployment at scale of AI/ML tools in a research centre operating in a low-resource setting. Streamlined data-driven drug discovery remains challenging, especially in resource-limited settings. Here, the authors present ZairaChem, an AI/ML tool that streamlines QSAR/QSPR modelling, implemented for the first time at the H3D Centre in South Africa.",,Merck KGaA; Harry Crossley Foundation Postdoctoral Fellowship; Code for Science amp; Society; Wellcome Trust; South African Medical Research Council; South African Research Chairs Initiative of the Department of Science and Innovation,First fully-automated AI/ML virtual screening cascade implemented at a drug discovery centre in Africa,YES
2023.0,diagnosis,"Hangzhou City University; Zhejiang University; Chinese Academy of Sciences; Wuhan Institute of Virology, CAS; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; Shandong University of Technology; Hubei Jiangxia Laboratory","BackgroundThe escalation of viruses over the past decade has highlighted the need to determine their respective hosts, particularly for emerging ones that pose a potential menace to the welfare of both human and animal life. Yet, the traditional means of ascertaining the host range of viruses, which involves field surveillance and laboratory experiments, is a laborious and demanding undertaking. A computational tool with the capability to reliably predict host ranges for novel viruses can provide timely responses in the prevention and control of emerging infectious diseases. The intricate nature of viral-host prediction involves issues such as data imbalance and deficiency. Therefore, developing highly accurate computational tools capable of predicting virus-host associations is a challenging and pressing demand.ResultsTo overcome the challenges of virus-host prediction, we present HostNet, a deep learning framework that utilizes a Transformer-CNN-BiGRU architecture and two enhanced sequence representation modules. The first module, k-mer to vector, pre-trains a background vector representation of k-mers from a broad range of virus sequences to address the issue of data deficiency. The second module, an adaptive sliding window, truncates virus sequences of various lengths to create a uniform number of informative and distinct samples for each sequence to address the issue of data imbalance. We assess HostNet's performance on a benchmark dataset of Rabies lyssavirus and an in-house dataset of Flavivirus. Our results show that HostNet surpasses the state-of-the-art deep learning-based method in host-prediction accuracies and F1 score. The enhanced sequence representation modules, significantly improve HostNet's training generalization, performance in challenging classes, and stability.ConclusionHostNet is a promising framework for predicting virus hosts from genomic sequences, addressing challenges posed by sparse and varying-length virus sequence data. Our results demonstrate its potential as a valuable tool for virus-host prediction in various biological contexts. Virus-host prediction based on genomic sequences using deep neural networks is a promising approach to identifying their potential hosts accurately and efficiently, with significant impacts on public health, disease prevention, and vaccine development.",,Zhejiang Provincial Natural Science Foundation of China under Grant; Supercomputing Center of Hangzhou City University,HostNet: improved sequence representation in deep neural networks for virus-host prediction,YES
2023.0,prognosis,Stanford University; Griffith University; Griffith University - Gold Coast Campus; University of California System; University of California Santa Barbara; University of California System; University of California Santa Barbara,"Vector-borne diseases are highly responsive to environmental changes, but such responses are difficult to isolate. Using human footprint index and machine learning, this study shows how the occurrence of six diverse vector-borne diseases responds to the intricate effects of human pressure. Predicting how increasing intensity of human-environment interactions affects pathogen transmission is essential to anticipate changing disease risks and identify appropriate mitigation strategies. Vector-borne diseases (VBDs) are highly responsive to environmental changes, but such responses are notoriously difficult to isolate because pathogen transmission depends on a suite of ecological and social responses in vectors and hosts that may differ across species. Here we use the emerging tools of cumulative pressure mapping and machine learning to better understand how the occurrence of six medically important VBDs, differing in ecology from sylvatic to urban, respond to multidimensional effects of human pressure. We find that not only is human footprint-an index of human pressure, incorporating built environments, energy and transportation infrastructure, agricultural lands and human population density-an important predictor of VBD occurrence, but there are clear thresholds governing the occurrence of different VBDs. Across a spectrum of human pressure, diseases associated with lower human pressure, including malaria, cutaneous leishmaniasis and visceral leishmaniasis, give way to diseases associated with high human pressure, such as dengue, chikungunya and Zika. These heterogeneous responses of VBDs to human pressure highlight thresholds of land-use transitions that may lead to abrupt shifts in infectious disease burdens and public health needs.",ENVIRONMENTAL RISK-FACTORS; LEISHMANIASIS; STATE; CONSEQUENCES; BURDEN,"National Institutes of Health [R35GM133439]; National Science Foundation; Fogarty International Center [DEB-2011147]; NSF [DEB-2032276]; National Institute of Allergy and Infectious Diseases [R01AI168097, R01AI102918]; Stanford Woods Institute for the Environment, King Center on Global Development, Center for Innovation in Global Health and Terman Award",Human footprint is associated with shifts in the assemblages of major vector-borne diseases,YES
2023.0,diagnosis,Guangzhou Medical University; Guangzhou Medical University; Guangzhou Medical University; Guangzhou Medical University; Guangzhou Medical University; Guangzhou Medical University; Guangdong Academy of Medical Sciences & Guangdong General Hospital; Southern Medical University - China; Guangzhou Medical University; Guangzhou Medical University,"BackgroundCerebral malaria (CM) is a manifestation of malaria caused by plasmodium infection. It has a high mortality rate and severe neurological sequelae, existing a significant research gap and requiring further study at the molecular level.MethodsWe downloaded the GSE117613 dataset from the Gene Expression Omnibus (GEO) database to determine the differentially expressed genes (DEGs) between the CM group and the control group. Weighted gene coexpression network analysis (WGCNA) was applied to select the module and hub genes most relevant to CM. The common genes of the key module and DEGs were selected to perform further analysis. The least absolute shrinkage and selection operator (LASSO) logistic regression and support vector machine recursive feature elimination (SVM-RFE) were applied to screen and verify the diagnostic markers of CM. Eventually, the hub genes were validated in the external dataset. Gene set enrichment analysis (GSEA) was applied to investigate the possible roles of the hub genes.ResultsThe GO and KEGG results showed that DEGs were enriched in some neutrophil-mediated pathways and associated with some lumen structures. Combining LASSO and the SVM-RFE algorithms, LEF1 and IRAK3 were identified as potential hub genes in CM. Through the GSEA enrichment results, we found that LEF1 and IRAK3 participated in maintaining the integrity of the blood-brain barrier (BBB), which contributed to improving the prognosis of CM.ConclusionsThis study may help illustrate the pathophysiology of CM at the molecular level. LEF1 and IRAK3 can be used as diagnostic biomarkers, providing new insight into the diagnosis and prognosis prediction in pediatric CM.",WNT; DYSFUNCTION,,Identifying effective diagnostic biomarkers for childhood cerebral malaria in Africa integrating coexpression analysis with machine learning algorithm,YES
2023.0,diagnosis,Autonomous University of Barcelona; Hospital Universitari Vall d'Hebron; Vall d'Hebron Institut de Recerca (VHIR); Autonomous University of Barcelona; Hospital Universitari Vall d'Hebron; Universitat Politecnica de Catalunya; Universitat Politecnica de Catalunya; Instituto de Salud Carlos III; Autonomous University of Barcelona; Parc Tauli Hospital Universitari; Pompeu Fabra University,"Introduction: Malaria is one of the most prevalent infectious diseases in sub-Saharan Africa, with 247 million cases reported worldwide in 2021 according to the World Health Organization. Optical microscopy remains the gold standard technique for malaria diagnosis, however, it requires expertise, is time-consuming and difficult to reproduce. Therefore, new diagnostic techniques based on digital image analysis using artificial intelligence tools can improve diagnosis and help automate it.Methods: In this study, a dataset of 2571 labeled thick blood smear images were created. YOLOv5x, Faster R-CNN, SSD, and RetinaNet object detection neural networks were trained on the same dataset to evaluate their performance in Plasmodium parasite detection. Attention modules were applied and compared with YOLOv5x results. To automate the entire diagnostic process, a prototype of 3D-printed pieces was designed for the robotization of conventional optical microscopy, capable of auto-focusing the sample and tracking the entire slide.Results: Comparative analysis yielded a performance for YOLOv5x on a test set of 92.10% precision, 93.50% recall, 92.79% F-score, and 94.40% mAP0.5 for leukocyte, early and mature Plasmodium trophozoites overall detection. F-score values of each category were 99.0% for leukocytes, 88.6% for early trophozoites and 87.3% for mature trophozoites detection. Attention modules performance show non-significant statistical differences when compared to YOLOv5x original trained model. The predictive models were integrated into a smartphone-computer application for the purpose of image-based diagnostics in the laboratory. The system can perform a fully automated diagnosis by the auto-focus and X-Y movements of the robotized microscope, the CNN models trained for digital image analysis, and the smartphone device. The new prototype would determine whether a Giemsa-stained thick blood smear sample is positive/negative for Plasmodium infection and its parasite levels. The whole system was integrated into the iMAGING smartphone application.Conclusion: The coalescence of the fully-automated system via auto-focus and slide movements and the autonomous detection of Plasmodium parasites in digital images with a smartphone software and AI algorithms confers the prototype the optimal features to join the global effort against malaria, neglected tropical diseases and other infectious diseases.",PERFORMANCE,Microbiology Department of Vall d'Hebron University Hospital; Cooperation Centre of the Universitat Politcnica de Catalunya (CCD-UPC),iMAGING: a novel automated system for malaria diagnosis by using artificial intelligence tools and a universal low-cost robotized microscope,YES
