Year,Title,DOI,DOI_Link,Authors
2024,Machine learning for predicting Chagas disease infection in rural areas of Brazil,10.1371/journal.pntd.0012026,http://dx.doi.org/10.1371/journal.pntd.0012026,"Ghilardi, Fabio De Rose; Silva, Gabriel; Vieira, Thallyta Maria; Mota, Ariela; Bierrenbach, Ana Luiza; Damasceno, Renata Fiuza; de Oliveira, Lea Campos; Chiavegatto Filho, Alexandre Dias Porto; Sabino, Ester"
2024,Machine learning to improve the understanding of rabies epidemiology in low surveillance settings,10.1038/s41598-024-76089-3,http://dx.doi.org/10.1038/s41598-024-76089-3,"Keshavamurthy, Ravikiran; Boutelle, Cassandra; Nakazawa, Yoshinori; Joseph, Haim; Joseph, Dady W.; Dilius, Pierre; Gibson, Andrew D.; Wallace, Ryan M."
2024,Machine-learning prediction models for any blood component transfusion in hospitalized dengue patients,10.1016/j.htct.2023.09.2365,http://dx.doi.org/10.1016/j.htct.2023.09.2365,"Ansari, Md. Shahid; Jain, Dinesh; Budhiraja, Sandeep"
2024,Metabolomic profiling of dengue infection: unraveling molecular signatures by LC-MS/MS and machine learning models,10.1007/s11306-024-02169-0,http://dx.doi.org/10.1007/s11306-024-02169-0,"Josyula, Jhansi Venkata Nagamani; Jeanpierre, Aashika Raagavi; Jorvekar, Sachin B.; Adla, Deepthi; Mariappan, Vignesh; Pulimamidi, Sai Sharanya; Green, Siva Ranganathan; Pillai, Agieshkumar Balakrishna; Borkar, Roshan M.; Mutheneni, Srinivasa Rao"
2024,Modeling the Role of Weather and Pilgrimage Variables on Dengue Fever Incidence in Saudi Arabia,10.3390/pathogens13030214,http://dx.doi.org/10.3390/pathogens13030214,"Altassan, Kholood K.; Morin, Cory W.; Hess, Jeremy J."
2024,Precision mapping of snail habitat in lake and marshland areas: Integrating environmental and textural indicators using Random Forest modeling,10.1016/j.heliyon.2024.e36300,http://dx.doi.org/10.1016/j.heliyon.2024.e36300,"Zhang, Xuedong; Lv, Zelan; Dai, Jianjun; Ke, Yongwen; Chen, Xinyue; Hu, Yi"
2024,Precision Prediction for Dengue Fever in Singapore: A Machine Learning Approach Incorporating Meteorological Data,10.3390/tropicalmed9040072,http://dx.doi.org/10.3390/tropicalmed9040072,"Tian, Na; Zheng, Jin-Xin; Li, Lan-Hua; Xue, Jing-Bo; Xia, Shang; Lv, Shan; Zhou, Xiao-Nong"
2024,Predicting Schistosomiasis Intensity in Africa: A Machine Learning Approach to Evaluate the Progress of WHO Roadmap 2030,10.4269/ajtmh.23-0751,http://dx.doi.org/10.4269/ajtmh.23-0751,"Chen, Xinyue; Le, Jiaxu; Hu, Yi"
2024,"Prediction on the spatial distribution of the seropositive rate of schistosomiasis in Hunan Province, China: a machine learning model integrated with the Kriging method",10.1007/s00436-024-08331-w,http://dx.doi.org/10.1007/s00436-024-08331-w,"Xu, Ning; Cai, Yu; Tong, Yixin; Tang, Ling; Zhou, Yu; Gong, Yanfeng; Huang, Junhui; Wang, Jiamin; Chen, Yue; Jiang, Qingwu; Zheng, Mao; Zhou, Yibiao"
2024,Salivary detection of Chikungunya virus infection using a portable and sustainable biophotonic platform coupled with artificial intelligence algorithms,10.1038/s41598-024-71889-z,http://dx.doi.org/10.1038/s41598-024-71889-z,"Guevara-Vega, Marco; Rosa, Rafael Borges; Caixeta, Douglas Carvalho; Costa, Mariana Araujo; de Souza, Rayany Cristina; Ferreira, Giulia Magalhaes; Mundim Filho, Anage Calixto; Carneiro, Murillo Guimaraes; Jardim, Ana Carolina Gomes; Sabino-Silva, Robinson"
2024,Smart monitoring solution for dengue infection control: A digital twin-inspired approach,10.1016/j.cmpb.2024.108459,http://dx.doi.org/10.1016/j.cmpb.2024.108459,"Manocha, Ankush; Bhatia, Munish; Kumar, Gulshan"
2024,Unraveling trends in schistosomiasis: deep learning insights into national control programs in China,10.4178/epih.e2024039,http://dx.doi.org/10.4178/epih.e2024039,"Su, Qing; Bauer, Cici Xi Chen; Bergquist, Robert; Cao, Zhiguo; Gao, Fenghua; Hu, Yi; Zhang, Zhijie"
2024,Validation of artificial intelligence-based digital microscopy for automated detection of Schistosoma haematobium eggs in urine in Gabon,10.1371/journal.pntd.0011967,http://dx.doi.org/10.1371/journal.pntd.0011967,"Meulah, Brice; Oyibo, Prosper; Hoekstra, Pytsje T.; Moure, Paul Alvyn Nguema; Maloum, Moustapha Nzamba; Laclong-Lontchi, Romeo Aime; Honkpehedji, Yabo Josiane; Bengtson, Michel; Hokke, Cornelis; Corstjens, Paul L. A. M.; Agbana, Temitope; Diehl, Jan Carel; Adegnika, Ayola Akim; van Lieshout, Lisette"
2024,Wavelet scattering- and object detection-based computer vision for identifying dengue from peripheral blood microscopy,10.1002/ima.23020,http://dx.doi.org/10.1002/ima.23020,"Dsilva, Liora Rosvin; Tantri, Shivani Harish; Sampathila, Niranjana; Mayrose, Hilda; Bairy, G. Muralidhar; Belurkar, Sushma; Saravu, Kavitha; Chadaga, Krishnaraj; Hafeez-Baig, Abdul"
2023,An ensemble neural network approach to forecast Dengue outbreak based on climatic condition,10.1016/j.chaos.2023.113124,http://dx.doi.org/10.1016/j.chaos.2023.113124,"Panja, Madhurima; Chakraborty, Tanujit; Nadim, Sk Shahid; Ghosh, Indrajit; Kumar, Uttam; Liu, Nan"
2023,Artificial intelligence-guided approach for efficient virtual screening of hits against Schistosoma mansoni,10.4155/fmc-2023-0152,http://dx.doi.org/10.4155/fmc-2023-0152,"Moreira-Filho, Jose Teofilo; Junior Neves, Bruno; Cajas, Rayssa Araujo; de Moraes, Josue; Andrade, Carolina Horta"
2023,Assessing dengue fever risk in Costa Rica by using climate variables and machine learning techniques,10.1371/journal.pntd.0011047,http://dx.doi.org/10.1371/journal.pntd.0011047,"Barboza, Luis A.; Chou-Chen, Shu-Wei; Vasquez, Paola; Garcia, Yury E.; Calvo, Juan G.; Hidalgo, Hugo G.; Sanchez, Fabio"
2023,DDPM: A Dengue Disease Prediction and Diagnosis Model Using Sentiment Analysis and Machine Learning Algorithms,10.3390/diagnostics13061093,http://dx.doi.org/10.3390/diagnostics13061093,"Gupta, Gaurav; Khan, Shakir; Guleria, Vandana; Almjally, Abrar; Alabduallah, Bayan Ibrahimm; Siddiqui, Tamanna; Albahlal, Bader M.; Alajlan, Saad Abdullah; AL-Subaie, Mashael"
2023,"Demographic characteristics, clinical symptoms, biochemical markers and probability of occurrence of severe dengue: A multicenter hospital-based study in Bangladesh",10.1371/journal.pntd.0011161,http://dx.doi.org/10.1371/journal.pntd.0011161,"Yang, Jingli M.; Al Mosabbir, Abdullah; Raheem, Enayetur M.; Hu, Wenbiao; Hossain, Mohammad Sorowar M."
2023,Detecting dengue fever in children using online Rasch analysis to develop algorithms for parents: An APP development and usability study,10.1097/MD.0000000000033296,http://dx.doi.org/10.1097/MD.0000000000033296,"Hu, Ting-Yun; Chow, Julie Chi; Chien, Tsair-Wei; Chou, Willy"
2023,Development and deployment of a smartphone application for diagnosing trachoma: Leveraging code-free deep learning and edge artificial intelligence,10.4103/sjopt.sjopt_106_22,http://dx.doi.org/10.4103/sjopt.sjopt_106_22,"Milad, Daniel; Antaki, Fares; Robert, Marie-Claude; Duval, Renaud"
2023,Development of optimized ensemble classifier for dengue fever prediction and recommendation system,10.1016/j.bspc.2023.104809,http://dx.doi.org/10.1016/j.bspc.2023.104809,"Shaikh, Salim G.; SureshKumar, B.; Narang, Geetika"
2023,Discover the New Factor for Dengue Fever Outbreaks and Predicted using Bayes Network-PSO (BN-PSO),10.6688/JISE.202311_39(6).0009,http://dx.doi.org/10.6688/JISE.202311_39(6).0009,"Suggala, Ravi Kumar; Krishna, M. Vamsi; Swain, Sangram Keshari"
2023,Leveraging Deep Learning for Designing Healthcare Analytics Heuristic for Diagnostics,10.1007/s11063-021-10425-w,http://dx.doi.org/10.1007/s11063-021-10425-w,"Shafqat, Sarah; Fayyaz, Maryyam; Khattak, Hasan Ali; Bilal, Muhammad; Khan, Shahid; Ishtiaq, Osama; Abbasi, Almas; Shafqat, Farzana; Alnumay, Waleed S.; Chatterjee, Pushpita"
2023,Machine Learning-Based Detection of Dengue from Blood Smear Images Utilizing Platelet and Lymphocyte Characteristics,10.3390/diagnostics13020220,http://dx.doi.org/10.3390/diagnostics13020220,"Mayrose, Hilda; Bairy, G. Muralidhar; Sampathila, Niranjana; Belurkar, Sushma; Saravu, Kavitha"
2023,Matrix-assisted laser desorption/ionization time-of-flight mass spectrometry for differential identification of adult Schistosoma worms,10.1186/s13071-022-05604-0,http://dx.doi.org/10.1186/s13071-022-05604-0,"Ebersbach, Jurena Christiane; Sato, Marcello Otake; de Araujo, Matheus Pereira; Sato, Megumi; Becker, Soeren L.; Sy, Issa"
2023,ML Flow serological test: complementary tool in leprosy,10.1016/j.abd.2022.05.005,http://dx.doi.org/10.1016/j.abd.2022.05.005,"Montanha, Janaina Olher Martins; Nardi, Susilene Maria Tonelli; Binhardi, Fernanda Modesto Tolentino; Pedro, Heloisa da Silveira Paro; de Santi, Milena Polotto; Paschoal, Vania Del Arco"
2023,Open-source environmental data as an alternative to snail surveys to assess schistosomiasis risk in areas approaching elimination,10.1186/s12942-023-00331-w,http://dx.doi.org/10.1186/s12942-023-00331-w,"Grover, Elise N.; Allshouse, William B.; Lund, Andrea J.; Liu, Yang; Paull, Sara H.; James, Katherine A.; Crooks, James L.; Carlton, Elizabeth J."
2023,Poor adherence is a major barrier to the proper treatment of cutaneous leishmaniasis: A case-control field assessment in Iran,10.1016/j.ijpddr.2022.11.006,http://dx.doi.org/10.1016/j.ijpddr.2022.11.006,"Bamorovat, Mehdi; Sharifi, Iraj; Afshari, Setareh Agha Kuchak; Karamoozian, Ali; Tahmouresi, Amirhossein; Heshmatkhah, Amireh; Salarkia, Ehsan; Khosravi, Ahmad; Parizi, Maryam Hakimi; Barghi, Maryam"
2023,Synchrotron-Infrared Microspectroscopy of Live Leishmania major Infected Macrophages and Isolated Promastigotes and Amastigotes,10.1021/acs.analchem.2c04004,http://dx.doi.org/10.1021/acs.analchem.2c04004,"Veettil, Thulya Chakkumpulakkal Puthan; Duffin, Rebekah N.; Roy, Supti; Vongsvivut, Jitraporn; Tobin, Mark J.; Martin, Miguela; Adegoke, John A.; Andrews, Philip C.; Wood, Bayden R."
2023,TrachomaNet: Detection and grading of trachoma using texture feature based deep convolutional neural network,10.1007/s11042-022-13214-2,http://dx.doi.org/10.1007/s11042-022-13214-2,"Yenegeta, Belesti; Assabie, Yaregal"
2023,Two-stage automated diagnosis framework for urogenital schistosomiasis in microscopy images from low-resource settings,10.1117/1.JMI.10.4.044005,http://dx.doi.org/10.1117/1.JMI.10.4.044005,"Oyibo, Prosper; Meulah, Brice; Bengtson, Michel; van Lieshout, Lisette; Oyibo, Wellington; Diehl, Jan-Carel; Vdovine, Gleb; Agbana, Tope"
2023,Ultrasound aspects and risk factors associated with urogenital schistosomiasis among primary school children in Mali,10.1186/s40249-023-01071-6,http://dx.doi.org/10.1186/s40249-023-01071-6,"Agniwo, Privat; Sidibe, Bakary; Diakite, Assitan; Niare, Safiatou Doumbo; Guindo, Hassim; Akplogan, Ahristode; Ibikounle, Moudachirou; Boissier, Jerome; Dabo, Abdoulaye"
2022,A machine learning-based system for detecting leishmaniasis in microscopic images,10.1186/s12879-022-07029-7,http://dx.doi.org/10.1186/s12879-022-07029-7,"Zare, Mojtaba; Akbarialiabad, Hossein; Parsaei, Hossein; Asgari, Qasem; Alinejad, Ali; Bahreini, Mohammad Saleh; Hosseini, Seyed Hossein; Ghofrani-Jahromi, Mohsen; Shahriarirad, Reza; Amirmoezzi, Yalda; Shahriarirad, Sepehr; Zeighami, Ali; Abdollahifard, Gholamreza"
2022,A Proposed Framework for Early Prediction of Schistosomiasis,10.3390/diagnostics12123138,http://dx.doi.org/10.3390/diagnostics12123138,"Ali, Zain; Hayat, Muhammad Faisal; Shaukat, Kamran; Alam, Talha Mahboob; Hameed, Ibrahim A.; Luo, Suhuai; Basheer, Shakila; Ayadi, Manel; Ksibi, Amel"
2022,Algorithm Design for a Cytokine Release Assay of Antigen-Specific In Vitro Stimuli of Circulating Leukocytes to Classify Leprosy Patients and Household Contacts,10.1093/ofid/ofac036,http://dx.doi.org/10.1093/ofid/ofac036,"Ferreira Marcal, Pedro Henrique; Moreira de Souza, Marcio Luis; Gama, Rafael Silva; Pereira de Oliveira, Lorena Bruna; Gomes, Matheus de Souza; do Amaral, Laurence Rodrigues; Pinheiro, Roberta Olmo; Sarno, Euzenir Nunes; Moraes, Milton Ozorio; Fairley, Jessica K.; Martins-Filho, Olindo Assis; de Oliveira Fraga, Lucia Alves"
2022,An artificial intelligence model to identify snakes from across the world: Opportunities and challenges for global health and herpetology,10.1371/journal.pntd.0010647,http://dx.doi.org/10.1371/journal.pntd.0010647,"Bolon, Isabelle; Picek, Lukas; Durso, Andrew M.; Alcoba, Gabriel; Chappuis, Francois; de Castaneda, Rafael Ruiz"
2022,Application of kNN and SVM to predict the prognosis of advanced schistosomiasis,10.1007/s00436-022-07583-8,http://dx.doi.org/10.1007/s00436-022-07583-8,"Zhou, Xiaorong; Wang, He; Xu, Chuan; Peng, Li; Xu, Feng; Lian, Lifei; Deng, Gang; Ji, Suqiong; Hu, Mengyan; Zhu, Hong; Xu, Yi; Li, Guo"
2022,Artificial Intelligence-Based Cyber-Physical System for Severity Classification of Chikungunya Disease,10.1109/JTEHM.2022.3171078,http://dx.doi.org/10.1109/JTEHM.2022.3171078,"Singh, Dilbag; Kaur, Manjit; Kumar, Vijay; Jabarulla, Mohamed Yaseen; Lee, Heung-No"
2022,Deep learning models for forecasting dengue fever based on climate data in Vietnam,10.1371/journal.pntd.0010509,http://dx.doi.org/10.1371/journal.pntd.0010509,"Nguyen, Van-Hau; Tuyet-Hanh, Tran Thi; Mulhall, James; Minh, Hoang Van; Duong, Trung; Chien, Nguyen Van; Nhung, Nguyen Thi Trang; Lan, Vu Hoang; Minh, Hoang Ba; Cuong, Do; Bich, Nguyen Ngoc; Quyen, Nguyen Huu; Linh, Tran Nu Quy V.; Tho, Nguyen Thi; Nghia, Ngu Duy V.; Anh, Le Van Quoc; Phan, Diep T. M. V.; Hung, Nguyen Quoc Viet; Son, Mai Thai V."
2022,Detection of trachoma using machine learning approaches,10.1371/journal.pntd.0010943,http://dx.doi.org/10.1371/journal.pntd.0010943,"Socia, Damien; Brady, Christopher J.; West, Sheila K.; Cockrell, R. Chase"
2022,Diagnostic Classification of Cases of Canine Leishmaniasis Using Machine Learning,10.3390/s22093128,http://dx.doi.org/10.3390/s22093128,"Ferreira, Tiago S.; Santana, Ewaldo E. C.; Jacob Junior, Antonio F. L.; Silva Junior, Paulo F.; Bastos, Luciana S.; Silva, Ana L. A.; Melo, Solange A.; Cruz, Carlos A. M.; Aquino, Vivianne S.; Castro, Luis S. O.; Lima, Guilherme O.; Freire, Raimundo C. S."
2022,Machine-Learning-Based Forecasting of Dengue Fever in Brazilian Cities Using Epidemiologic and Meteorological Variables,10.1093/aje/kwac090,http://dx.doi.org/10.1093/aje/kwac090,"Roster, Kirstin; Connaughton, Colm; Rodrigues, Francisco A."
2022,Performance evaluation of artificial neural networks for feature extraction from dengue fever,10.1080/23311916.2022.2129364,http://dx.doi.org/10.1080/23311916.2022.2129364,"Ergu, Yared Abera"
2022,Performance Evaluation of the Schistoscope 5.0 for (Semi-)automated Digital Detection and Quantification of Schistosoma haematobium Eggs in Urine: A Field-based Study in Nigeria,10.4269/ajtmh.22-0276,http://dx.doi.org/10.4269/ajtmh.22-0276,"Meulah, Brice; Oyibo, Prosper; Bengtson, Michel; Agbana, Temitope; Lontchi, Romeo Aime Laciong; Adegnika, Ayola Akim; Oyibo, Wellington; Hokke, Cornelis Hendrik; Diehl, Jan Carel; van Lieshout, Lisette"
2022,Prediction of antischistosomal small molecules using machine learning in the era of big data,10.1007/s11030-021-10288-2,http://dx.doi.org/10.1007/s11030-021-10288-2,"Kwofie, Samuel K.; Agyenkwa-Mawuli, Kwasi; Broni, Emmanuel; Miller III, Whelton A.; Wilson, Michael D."
