Year,Class,Affiliations,Abstract,Keywords,Title,Tropical_disease_type,Machine_learning_techniques,ml,Model,funding_details,funding_text,Authors_Region,Data_Region,Tropical_disease_type_clean,Tropical_disease_type_list
2024,drug discovery,University of Puerto Rico; University of Puerto Rico Medical Sciences Campus; University of Puerto Rico; University of Puerto Rico Medical Sciences Campus,"Purpose Antimalarial drug resistance is a global public health problem that leads to treatment failure. Synergistic drug combinations can improve treatment outcomes and delay the development of drug resistance. Here, we describe the implementation of a freely available computational tool, Machine Learning Synergy Predictor (MLSyPred (c)), to predict potential synergy in antimalarial drug combinations.Methods The MLSyPred (c) synergy prediction method extracts molecular fingerprints from the drugs' biochemical structures to use as features and also cleans and prepares the raw data. Five machine learning algorithms (Logistic Regression, Random Forest, Support vector machine, Ada Boost, and Gradient Boost) were implemented to build prediction models. Implementation and application of the MLSyPred (c) tool were tested using datasets from 1540 combinations of 79 drugs and compounds biologically evaluated in pairs for three strains of Plasmodium falciparum (3D7, HB3, and Dd2).Results The best prediction models were obtained using Logistic Regression for antimalarials with the strains Dd2 and HB3 (0.81 and 0.70 AUC, respectively) and Random Forest for antimalarials with 3D7 (0.69 AUC). The MLSyPred (c) tool yielded 45% precision for synergistically predicted antimalarial drug combinations that were annotated and biologically validated, thus confirming the functionality and applicability of the tool.Conclusion The MLSyPred (c) tool is freely available and represents a promising strategy for discovering potential synergistic drug combinations for further development as novel antimalarial therapies.",DESCRIPTORS; MODEL,Antimalarial Drug Combination Predictions Using the Machine Learning Synergy Predictor (MLSyPredÂ©) tool,"- Malaria
- tuberculosis",supervised learning,ml,"-Logistic Regression (LR)
-Random Forest (RF)
-Support Vector Machine (SVM)
-Gradient Boost (GB)
-AdaBoost (AB)",National Institute on Minority Health; Health Disparities RCMI Grant; National Institutes of Health RISE Grant(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USAOffice of the Administrator (NIH)); NIGMS-RISE(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS)),This work was supported by the National Institute on Minority Health and Health Disparities RCMI Grant: U54MD007600. Graduate student support was provided by the National Institutes of Health RISE Grant: 5R25GM061151-22 and NIGMS-RISE Grant: R25 GM061838.,USA,"No specific geographical ""land"" region reported in the paper","Malaria,tuberculosis","['Malaria', 'tuberculosis']"
2024,diagnosis,Near East University; Near East University; Near East University; Lefke Avrupa University; Near East University,"Cutaneous leishmaniasis (CL) is a common illness that causes skin lesions, principally ulcerations, on exposed regions of the body. Although neglected tropical diseases (NTDs) are typically found in tropical areas, they have recently become more common along Africa's northern coast, particularly in Libya. The devastation of healthcare infrastructure during the 2011 war and the following conflicts, as well as governmental apathy, may be causal factors associated with this catastrophic event. The main objective of this study is to evaluate alternative diagnostic strategies for recognizing amastigotes of cutaneous leishmaniasis parasites at various stages using Convolutional Neural Networks (CNNs). The research is additionally aimed at testing different classification models employing a dataset of ultra-thin skin smear images of Leishmania parasite-infected people with cutaneous leishmaniasis. The pre-trained deep learning models including EfficientNetB0, DenseNet201, ResNet101, MobileNetv2, and Xception are used for the cutaneous leishmania parasite diagnosis task. To assess the models' effectiveness, we employed a five-fold cross-validation approach to guarantee the consistency of the models' outputs when applied to different portions of the full dataset. Following a thorough assessment and contrast of the various models, DenseNet-201 proved to be the most suitable choice. It attained a mean accuracy of 0.9914 along with outstanding results for sensitivity, specificity, positive predictive value, negative predictive value, F1-score, Matthew's correlation coefficient, and Cohen's Kappa coefficient. The DenseNet-201 model surpassed the other models based on a comprehensive evaluation of these key classification performance metrics.",,Assessment of Deep Learning Models for Cutaneous Leishmania Parasite Diagnosis Using Microscopic Images,"- Cutaneous Leishmaniasis (CL)
- Malaria
- Chagas disease",Supervised Learning,ml,"DenseNet-201, EfficientNet-b0, MobileNet-v2, ResNet-101, Xception","Affiliation: Near East University, Faculty of Engineering, Department of Computer Engineering","Name: Abu Bakr Muhammad Hussain Cambo. Specialty: Dermatology. Email: abubaker8@gmail.com. Affiliation: Muhammad Al-Maqrif polyclinic. Name: Ahmet Ilhan. Specialty: Computer Engineering. Email: ahmet.ilhan@neu.edu.tr. Affiliation: Near East University, Faculty of Engineering, Department of Computer Engineering. I would like to express my sincere gratitude to him for his invaluable contributions and unwavering dedication. His remarkable efforts have left a lasting impact and are deeply appreciated.","North Cyprus, Turkey",Libya,"Cutaneous Leishmaniasis (CL),Malaria,Chagas disease","['Cutaneous Leishmaniasis (CL)', 'Malaria', 'Chagas disease']"
2024,diagnosis,Universidade de Brasilia; Universidade de Brasilia; Universidade de Brasilia,"The polymorphism of cutaneous leishmaniasis (CL) complicates diagnosis in health care services because lesions may be confused with other dermatoses such as sporotrichosis, paracocidiocomycosis, and venous insufficiency. Automated identification of skin diseases based on deep learning (DL) has been applied to assist diagnosis. In this study, we evaluated the performance of AlexNet, a DL algorithm, to identify pictures of CL lesions in patients from Midwest Brazil. We used a set of 2458 pictures (up to 10 of each lesion) obtained from patients treated between 2015 and 2022 in the Leishmaniasis Clinic at the University Hospital of Brasilia. We divided the picture database into training (80%), internal validation (10%), and testing sets (10%), and trained and tested AlexNet to identify pictures of CL lesions. We performed three simulations and trained AlexNet to differentiate CL from 26 other dermatoses (e.g., chromomycosis, ecthyma, venous insufficiency). We obtained an average accuracy of 95.04% (Confidence Interval 95%: 93.81-96.04), indicating an excellent performance of AlexNet in identifying pictures of CL lesions. We conclude that automated CL identification using AlexNet has the potential to assist clinicians in diagnosing skin lesions. These results contribute to the development of a mobile application to assist in the diagnosis of CL in health care services.",DIAGNOSIS; DERMATOLOGY; DISEASE; CARE,Automated Identification of Cutaneous Leishmaniasis Lesions Using Deep-Learning-Based Artificial Intelligence,Cutaneous Leishmaniasis,Supervised Learning,ml,AlexNet,Postgraduate Program in Tropical Medicine at the University of Braslia,We are grateful to the doctors and residents of the dermatology outpatient clinic at the University Hospital of Brasilia for their patient management. We thank Gerson Oliveira Penna for his useful suggestions.,Brazil,Brazil,Cutaneous Leishmaniasis,['Cutaneous Leishmaniasis']
2024,diagnosis,Institut National de la Sante et de la Recherche Medicale (Inserm); Universite de Toulouse; Universite Toulouse III - Paul Sabatier; Centre National de la Recherche Scientifique (CNRS); Universite de Rouen Normandie; CHU de Rouen; Assistance Publique Hopitaux Paris (APHP); Universite Paris Cite; Hopital Universitaire Lariboisiere-Fernand-Widal - APHP; Hopital Universitaire Saint-Louis - APHP; Institut National de la Sante et de la Recherche Medicale (Inserm); Universite de Lille; CHU Lille; Centre National de la Recherche Scientifique (CNRS); Nantes Universite; Universite de Montpellier; CHU de Montpellier; Universite de Montpellier; CHU de Montpellier; Institut de Recherche pour le Developpement (IRD); Institut National de la Sante et de la Recherche Medicale (Inserm); Universite de Montpellier,"Malaria remains a global health problem, with 247 million cases and 619,000 deaths in 2021. Diagnosis of Plasmodium species is important for administering the appropriate treatment. The gold-standard diagnosis for accurate species identification remains the thin blood smear. Nevertheless, this method is time-consuming and requires highly skilled and trained microscopists. To overcome these issues, new diagnostic tools based on deep learning are emerging. This study aimed to evaluate the performances of a real-time detection transformer (RT-DETR) object detection algorithm to discriminate Plasmodium species on thin blood smear images. The algorithm was trained and validated on a data set consisting in 24,720 images from 475 thin blood smears corresponding to 2,002,597 labels. Performances were calculated with a test data set of 4,508 images from 170 smears corresponding to 358,825 labels coming from six French university hospitals. At the patient level, the RT-DETR algorithm exhibited an overall accuracy of 79.4% (135/170) with a recall of 74% (40/54) and 81.9% (95/116) for negative and positive smears, respectively. Among Plasmodium-positive smears, the global accuracy was 82.7% (91/110) with a recall of 90% (38/42), 81.8% (18/22), and 76.1% (35/46) for P. falciparum, P. malariae, and P. ovale/vivax, respectively. The RT-DETR model achieved a World Health Organization (WHO) competence level 2 for species identification. Besides, the RT-DETR algorithm may be run in real-time on low-cost devices such as a smartphone and could be suitable for deployment in low-resource setting areas lacking microscopy experts. IMPORTANCE Malaria remains a global health problem, with 247 million cases and 619,000 deaths in 2021. Diagnosis of Plasmodium species is important for administering the appropriate treatment. The gold-standard diagnosis for accurate species identification remains the thin blood smear. Nevertheless, this method is time-consuming and requires highly skilled and trained microscopists. To overcome these issues, new diagnostic tools based on deep learning are emerging. This study aimed to evaluate the performances of a real-time detection transformer (RT-DETR) object detection algorithm to discriminate Plasmodium species on thin blood smear images. Performances were calculated with a test data set of 4,508 images from 170 smears coming from six French university hospitals. The RT-DETR model achieved a World Health Organization (WHO) competence level 2 for species identification. Besides, the RT-DETR algorithm may be run in real-time on low-cost devices and could be suitable for deployment in low-resource setting areas.",,Automatic patient-level recognition of four Plasmodium species on thin blood smear by a real-time detection transformer (RT-DETR) object detection algorithm: a proof-of-concept and evaluation,"- Malaria
- Trypanosoma brucei
- Babesia divergens",Supervised Learning,ml,"RT-DETR (Real-Time Detection Transformer), YOLOv5x, YOLOv8x, CNNs, Faster R-CNN, Mask R-CNN, YOLOv3, YOLOv4",Montpellier University Hospital,This work was supported by the Montpellier University Hospital.,France,France,"Malaria,Trypanosoma brucei,Babesia divergens","['Malaria', 'Trypanosoma brucei', 'Babesia divergens']"
2024,prognosis,Universidad Industrial de Santander,"Our main aim was to estimate and compare the effects of six environmental variables (air temperature, soil temperature, rainfall, runoff, soil moisture, and the enhanced vegetation index) on excess cases of cutaneous leishmaniasis in Colombia. We used epidemiological data from the Colombian Public Health Surveillance System (January 2007 to December 2019). Environmental data were obtained from remote sensing sources including the National Oceanic and Atmospheric Administration, the Global Land Data Assimilation System (GLDAS), and the Moderate Resolution Imaging Spectroradiometer. Data on population were obtained from the TerriData dataset. We implemented a causal inference approach using a machine learning algorithm to estimate the causal association of the environmental variables on the monthly occurrence of excess cases of cutaneous leishmaniasis. The results showed that the largest causal association corresponded to soil moisture with a lag of 3 months, with an average increase of 8.0% (95% confidence interval [CI] 7.7-8.3%) in the occurrence of excess cases. The temperature-related variables (air temperature and soil temperature) had a positive causal effect on the excess cases of cutaneous leishmaniasis. It is noteworthy that rainfall did not have a statistically significant causal effect. This information could potentially help to monitor and control cutaneous leishmaniasis in Colombia, providing estimates of causal effects using remote sensor variables.",ENDEMIC AREA; RISK-FACTORS; CLIMATE; INFERENCE; IRAN,Causal association between environmental variables and the excess cases of cutaneous leishmaniasis in Colombia: are we looking to the wrong side?,Cutaneous Leishmaniasis,supervised learning,ml,"Double Machine Learning (DML) and Extreme Gradient Boosting (XGBoost)
",,,Colombia,Colombia,Cutaneous Leishmaniasis,['Cutaneous Leishmaniasis']
2024,diagnosis,Universidade de Brasilia; Universidade de Brasilia; Universidade de Brasilia; Colorado State University; University of Kansas; University of Kansas; Universidade de Brasilia; Fundacao Oswaldo Cruz,"Chagas disease (CD) is a public-health concern across Latin America. It is caused by Trypanosoma cruzi, a parasite transmitted by blood-sucking triatomine bugs. Automated identification of triatomine bugs is a potential means to strengthen CD vector surveillance. To be broadly useful, however, automated systems must draw on algorithms capable of correctly identifying bugs from images taken with ordinary cellphone cameras at varying angles or positions. Here, we assess the performance of five machine-learning algorithms at identifying the main CD vector genera (Triatoma, Panstrongylus, and Rhodnius) based on bugs photographed at different angles/positions with a 72-dpi cellphone camera. Each bug (N = 730; 13 species) was photographed at nine angles representing three positions: dorsal-flat, dorsal-oblique, and front/back-oblique. We randomly split the 6570-picture database into training (80%) and testing sets (20%), and then trained and tested a convolutional neural network (AlexNet, AN); three boosting-based classifiers (AdaBoost, AB; Gradient Boosting, GB; and Histogram-based Gradient Boosting, HB); and a linear discriminant model (LD). We assessed identification accuracy and specificity with logit-binomial generalized linear mixed models fit in a Bayesian framework. Differences in performance across algorithms were mainly driven by AN's essentially perfect accuracy and specificity, irrespective of picture angle or bug position. HB predicted accuracies ranged from similar to 0.987 (Panstrongylus, dorsal-oblique) to >0.999 (Triatoma, dorsal-flat). AB accuracy was poor for Rhodnius (similar to 0.224-0.282) and Panstrongylus (similar to 0.664-0.729), but high for Triatoma (similar to 0.988-0.991). For Panstrongylus, LD and GB had predicted accuracies in the similar to 0.970-0.984 range. AB misclassified similar to 57% of Rhodnius and Panstrongylus as Triatoma, whereas specificity ranged from similar to 0.92 to similar to 1.0 for the remaining algorithm-genus combinations. Dorsal-flat pictures appeared to improve algorithm performance slightly, but angle/position effects were overall weak-to-negligible. We conclude that, when high-performance algorithms such as AN are used, the angles or positions at which bugs are photographed seem unlikely to hinder cellphone picture-based automated identification of CD vectors, at least at the genus level. Future research should focus on combining mixed-quality pictures and state-of-the-art algorithms to (i) identify triatomine adults to the species level and (ii) distinguish triatomine nymphs (i.e., immature stages) from adults and from other insects.",SURVEILLANCE; TRANSMISSION; RECOGNITION; EVOLUTION; ECOLOGY; MODELS,"Cellphone picture-based, genus-level automated identification of Chagas disease vectors: Effects of picture orientation on the performance of five machine-learning algorithms",Chagas disease,supervised learning,ml,"AlexNet, AdaBoost, Gradient Boosting, Histogram-based Gradient Boosting, Linear Discriminant Analysis","Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES, Brazil)(Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)); Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPq, Brazil)(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ)); US National Science Foundation (NSF, United States of America)(National Science Foundation (NSF))","This work was supported by the Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES, Brazil; Finance Code 001), the Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPq, Brazil; award numbers 301904/2018-9 and 426619/2018-8), and the US National Science Foundation (NSF, United States of America; award number OIA-1920946).","Brazil, United States",Brazil,Chagas disease,['Chagas disease']
2024,diagnosis,Bahcesehir University; Universidad Autonoma de Yucatan,"Chagas disease is a life-threatening illnessmainly found in Latin America. Early identification and diagnosis of Chagas disease are critical for reducing the death rate of individuals since cures and treatments are available at the acute stage. In this work, we test and compare several deep learning classification models on smear blood sample images for the task of Chagas parasite classification. Our experiments showed that the best classification model is a deep learning architecture based on a residual network together with separable convolution blocks as feature extractors and using a support vector machine algorithm as the classifier in the final layer. This optimized model, we named Res2_SVM, with a reduced number of parameters, achieved an accuracy of 98.48%, precision of 100.0%, recall of 97.20%, and F1-score of 98.58% on our test dataset, overcoming other machine learning models.",,Chagas parasite classification in blood sample images using different machine learning architectures,Chagas disease,supervised learning,ml,"VGG-Net, VGG_PCA_SVM, VGG_PCA_XGB, VGG_PCA_RF, Inception V3, Xception, ResNet-50, Res2Net, and Res2_SVM",,,"Turkey, Mexico",Mexico,Chagas disease,['Chagas disease']
2024,prognosis,Mohammed V University in Rabat,"Rabies is a major zoonotic disease legally notifiable in Morocco and elsewhere. Given the burden of rabies and its impact on public health, several national control programs have been implemented since 1986, without achieving their expected objectives. The aim of this study was to design a predictive analysis of rabies in Morocco. The expected outcome was the construction of probabilistic diagrams that can guide actions for the integrated control of this disease, involving all stakeholders, in the country. Such modeling is an essential step in operational epidemiology to optimize expenditure of public funds allocated to the integrated strategy for fighting this disease. The methodology employed combined the use of geospatial analysis tools (kriging) and artificial intelligence models (Machine Learning). In order to investigate the link between the risk of rabies within a territorial municipality (commune) and its socio-economic situation, the following data were analyzed: (1) health data: reported animal cases of rabies between 2004 and 2021 and data obtained through the ArcGIS kriging tool (Geospatial data); (2) demographic and socio-economic data. We compared several Machine Learning models. Of these, the Imbalanced-Xgboost model associated with kriging yielded the best results. After optimizing this model, we mapped our results for better visualization. The obtained results complement and consolidate previous study in this field with greater accuracy, showing a strong correlation between a commune's socio-economic status, its geographical location and its risk level of rabies. From this, 399 out of the 1546 communes have been identified as high-risk areas, accounting for 25.8% of the total number of communes. Under this risk-based approach, the results of these analyses make it practical to take targeted decisions for rabies prevention and control, as well as canine population control, in a territorial commune according to its risk level. Such an approach allows obvious optimized distribution of financial resources and adaptation of the control actions to be taken. The study highlights also the importance of using innovative technologies to refine epidemiological approaches and fill gaps in field data. Through this study, we hope to contribute to eradication of rabies in Morocco by providing reliable data and practical recommendations for control actions against rabies.",,Contribution of artificial intelligence for understanding animal rabies epidemiology in Morocco: What are the perspectives of an innovative and predictive approaches?,rabies,supervised learning,ml,"Logistic Regression, Support Vector Machine, Neural Networks, Random Forest, Balanced Random Forest, Weighted Random Forest, XGBoost",,,Morocco,Morocco,rabies,['rabies']
2024,diagnosis,South China University of Technology; Jishou University; Guangdong University of Petrochemical Technology; Pazhou Lab; Shaanxi University of Technology; Hunan University of Finance & Economics,"Malaria is a significant health concern worldwide, particularly in Africa where its prevalence is still alarmingly high. Using artificial intelligence algorithms to diagnose cells with malaria provides great convenience for clinicians. In this paper, a densely connected convolutional dynamic learning network (DCDLN) is proposed for the diagnosis of malaria disease. Specifically, after data processing and partitioning of the dataset, the densely connected block is trained as a feature extractor. To classify the features extracted by the feature extractor, a classifier based on a dynamic learning network is proposed in this paper. Based on experimental results, the proposed DCDLN method demonstrates a diagnostic accuracy rate of 97.23%, surpassing the diagnostic performance than existing advanced methods on an open malaria cell dataset. This accurate diagnostic effect provides convincing evidence for clinicians to make a correct diagnosis. In addition, to validate the superiority and generalization capability of the DCDLN algorithm, we also applied the algorithm to the skin cancer and garbage classification datasets. DCDLN achieved good results on these datasets as well, demonstrating that the DCDLN algorithm possesses superiority and strong generalization performance.",NEURAL-NETWORK,DCDLN: A densely connected convolutional dynamic learning network for malaria disease diagnosis,malaria,,ml,,National Natural Science Foundation(National Natural Science Foundation of China (NSFC)); National High-Level Talents Special Support Program (Youth Tal-ent of Technological Innovation of Ten-Thousands Talents Program); International Scientific Research Coopera-tion Project of Guangdong Science and Technology Plan; Guangdong Basic and Applied Basic Research Foundation; Guangdong Foundation for Distinguished Young Scholars; Guangdong Special Support Program; SCUT-Tianxiagu Joint Lab Funding; Pazhou Lab Young Scholar Program; National Key Research and Development Program of China(National Key Research & Development Program of China); Guangdong Key Research and Development Program; Guangdong Natural Science Foundation Research Team Program,"This work was supported in part by the National Natural Science Foundation under Grants 61976096 and 62373157, in part by the National High-Level Talents Special Support Program (Youth Talent of Technological Innovation of Ten-Thousands Talents Program) under Grant C7220060, International Scientific Research Cooperation Project of Guangdong Science and Technology Plan under Grant 2023A0505050083, in part by the Guangdong Basic and Applied Basic Research Foundation under Grant 2020B1515120047, in part by the Guangdong Foundation for Distinguished Young Scholars under Grant 2017A030306009, in part by the Guangdong Special Support Program under Grant 2017TQ04X475, in part by the SCUT-Tianxiagu Joint Lab Funding under Grant x2zdD8212590, in part by the Pazhou Lab Young Scholar Program, in part by the National Key Research and Development Program of China under Grant 2017YFB1002505, in part by the Guangdong Key Research and Development Program under Grant 2018B030339001, and in part by the Guangdong Natural Science Foundation Research Team Program 1414060000024.",,,malaria,['malaria']
2024,diagnosis,University System of Georgia; Georgia Institute of Technology; Emory University; Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh; Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh; Carnegie Mellon University; Universidade Federal de Juiz de Fora; University Vale Rio Doce; Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh; Centers for Disease Control & Prevention - USA; CDC Center for Global Health (CGH); Universidade Federal de Juiz de Fora,"Schistosomiasis, a highly prevalent parasitic disease, affects more than 200 million people worldwide. Current diagnostics based on parasite egg detection in stool detect infection only at a late stage, and current antibody-based tests cannot distinguish past from current infection. Here, we developed and used a multiplexed antibody profiling platform to obtain a comprehensive repertoire of antihelminth humoral profiles including isotype, subclass, Fc receptor (FcR) binding, and glycosylation profiles of antigen-specific antibodies. Using Essential Regression (ER) and SLIDE, interpretable machine learning methods, we identified latent factors (context-specific groups) that move beyond biomarkers and provide insights into the pathophysiology of different stages of schistosome infection. By comparing profiles of infected and healthy individuals, we identified modules with unique humoral signatures of active disease, including hallmark signatures of parasitic infection such as elevated immunoglobulin G4 (IgG4). However, we also captured previously uncharacterized humoral responses including elevated FcR binding and specific antibody glycoforms in patients with active infection, helping distinguish them from those without active infection but with equivalent antibody titers. This signature was validated in an independent cohort. Our approach also uncovered two distinct endotypes, nonpatent infection and prior infection, in those who were not actively infected. Higher amounts of IgG1 and FcR1/FcR3A binding were also found to be likely protective of the transition from nonpatent to active infection. Overall, we unveiled markers for antibody-based diagnostics and latent factors underlying the pathogenesis of schistosome infection. Our results suggest that selective antigen targeting could be useful in early detection, thus controlling infection severity.",ISOTYPE RESPONSES; WORM ANTIGENS; MANSONI; HELMINTH; INFECTIONS; ANTIBODIES; SERUM; IGE; INTENSITY; BIOMARKER,Deep humoral profiling coupled to interpretable machine learning unveils diagnostic markers and pathophysiology of schistosomiasis,schistosomiasis,"Supervised leaning, Unsupervised learning",ml,Essential regression and SLIDE ,NIAID(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID)); Atlanta Center for Microsystems-Engineered Point-of-Care Technologies (ACME POCT); Coalition for Operational Research on Neglected Tropical Diseases (COR-NTD) - Task Force for Global Health (TFGH) by the Bill & Melinda Gates Foundation; United States Agency for International Development through its Neglected Tropical Diseases Program(United States Agency for International Development (USAID)); Bill and Melinda Gates Foundation(Bill & Melinda Gates Foundation),"This study was supported by NIAID R01AI170108 to J.D. and a pilot grant from the Atlanta Center for Microsystems-Engineered Point-of-Care Technologies (ACME POCT) to A.S. and J.F. This work also received financial support, via a grant to A.S, J.F., and L.F., from the Coalition for Operational Research on Neglected Tropical Diseases (COR-NTD), which is funded by the Task Force for Global Health (TFGH) primarily by the Bill & Melinda Gates Foundation (OPP1190754) and by the United States Agency for International Development through its Neglected Tropical Diseases Program. Finally, the work was partially supported by NIAID R01-AI182322 to A.S. The findings and conclusions in this report are those of the authors and do not necessarily represent the official position of the Centers for Disease Control and Prevention.","United States, Brazil","Brazil, Kenya",schistosomiasis,['schistosomiasis']
2024,diagnosis,Ziauddin University,"Evolution remains an incessant process in viruses, allowing them to elude the host immune response and induce severe diseases, impacting the diagnostic and vaccine effectiveness. Emerging and re-emerging diseases are among the significant public health concerns globally. The revival of dengue is mainly due to the potential for naturally arising mutations to induce genotypic alterations in serotypes. These transformations could lead to future outbreaks, underscoring the significance of studying DENV evolution in endemic regions. Predicting the emerging Dengue Virus (DENV) genome is crucial as the virus disrupts host cells, leading to fatal outcomes. Deep learning has been applied to predict dengue fever cases; there has been relatively less emphasis on its significance in forecasting emerging DENV serotypes. While Recurrent Neural Networks (RNN) were initially designed for modeling temporal sequences, our proposed DL-DVE generative and classification model, trained on complete genome data of DENV, transcends traditional approaches by learning semantic relationships between nucleotides in a continuous vector space instead of representing the contextual meaning of nucleotide characters. Leveraging 2000 publicly available DENV complete genome sequences, our Long Short-Term Memory (LSTM) based generative and Feedforward Neural Network (FNN) based classification DL-DVE model showcases proficiency in learning intricate patterns and generating sequences for emerging serotype of DENV. The generated sequences were analyzed along with available DENV serotype sequences to find conserved motifs in the genome through MEME Suite (version 5.5.5). The generative model showed an accuracy of 93 %, and the classification model provided insight into the specific serotype label, corroborated by BLAST search verification. Evaluation metrics such as ROC-AUC value 0.818, accuracy, precision, recall and F1 score, all to be around 99.00 %, demonstrating the classification model's reliability. Our model classified the generated sequences as DENV-4, exhibiting 65.99 % similarity to DENV-4 and around 63-65 % similarity with other serotypes, indicating notable distinction from other serotypes. Moreover, the intra-serotype divergence of sequences with a minimum of 90 % similarity underscored their uniqueness.",CLASSIFICATION,Deep learning guided prediction modeling of dengue virus evolving serotype,Dengue fever,supervised learning,ml,"LSTM, Feedforward Neural Network (FNN), Convolutional Neural Network (Conv1D), Gated Recurrent Unit (GRU), and RNN.",ORIC-FCCU,This research was funded by ORIC-FCCU with grant number IRIF-17.,Pakistan,"Not reported, it was taken on publicly available databases",Dengue fever,['Dengue fever']
2024,diagnosis,Jimma University; Jimma University; Jimma University; West Virginia University,"Background Leishmaniasis is a vector-born neglected parasitic disease belonging to the genus Leishmania. Out of the 30 Leishmania species, 21 species cause human infection that affect the skin and the internal organs. Around, 700,000 to 1,000,000 of the newly infected cases and 26,000 to 65,000 deaths are reported worldwide annually. The disease exhibits three clinical presentations, namely, the cutaneous, muco-cutaneous and visceral Leishmaniasis which affects the skin, mucosal membrane and the internal organs, respectively. The relapsing behavior of the disease limits its diagnosis and treatment efficiency. The common diagnostic approaches follow subjective, error-prone, repetitive processes. Despite, an ever pressing need for an accurate detection of Leishmaniasis, the research conducted so far is scarce. In this regard, the main aim of the current research is to develop an artificial intelligence based detection tool for the Leishmaniasis from the Geimsa-stained microscopic images using deep learning method.Methods Stained microscopic images were acquired locally and labeled by experts. The images were augmented using different methods to prevent overfitting and improve the generalizability of the system. Fine-tuned Faster RCNN, SSD, and YOLOV5 models were used for object detection. Mean average precision (MAP), precision, and Recall were calculated to evaluate and compare the performance of the models.Results The fine-tuned YOLOV5 outperformed the other models such as Faster RCNN and SSD, with the MAP scores, of 73%, 54% and 57%, respectively.Conclusion The currently developed YOLOV5 model can be tested in the clinics to assist the laboratorists in diagnosing Leishmaniasis from the microscopic images. Particularly, in low-resourced healthcare facilities, with fewer qualified medical professionals or hematologists, our AI support system can assist in reducing the diagnosing time, workload, and misdiagnosis. Furthermore, the dataset collected by us will be shared with other researchers who seek to improve upon the detection system of the parasite. The current model detects the parasites even in the presence of the monocyte cells, but sometimes, the accuracy decreases due to the differences in the sizes of the parasite cells alongside the blood cells. The incorporation of cascaded networks in future and the quantification of the parasite load, shall overcome the limitations of the currently developed system.",,DeepLeish: a deep learning based support system for the detection of Leishmaniasis parasite from Giemsa-stained microscope images,Leishmaniasis,supervised learning,ml,"YOLOv5, Faster RCNN, and SSD (Single Shot Detector with ResNet50 FPN backbone)",Jimma University; Armauer Hansen Research Institute,"We would like to thank Armauer Hansen Research Institute, ALERT and Jimma University Medical Center for allowing us to collect the necessary data.","Ethiopia, United States",Ethiopia,Leishmaniasis,['Leishmaniasis']
